Supermarket,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type,Total
Four Square Botany Junction,2,4,4,2,3,0,0,,15
Four Square Britomart,1,2,2,2,2,0,0,,9
Four Square Cockle Bay,1,4,1,2,3,0,0,,11
Four Square Eden Terrace,2,2,2,3,2,0,0,,11
Four Square Ellerslie,2,4,3,2,2,0,0,,13
Four Square Fair Price Henderson,2,4,2,2,2,0,0,,12
Four Square Glen Eden,2,2,2,4,2,1,0,,13
Four Square Hobsonville,3,2,2,3,2,0,0,,12
Four Square Lancaster,2,2,3,3,2,0,0,,12
Four Square Onehunga,2,2,2,1,3,0,0,,10
Four Square Pakuranga Heights,1,2,2,1,3,1,0,,10
Four Square Remuera,2,4,3,3,3,0,0,,15
Four Square St Heliers,2,2,1,3,2,1,0,,11
Four Square Torbay,4,4,3,3,3,0,0,,17
New World Albany,8,6,8,7,6,2,0,,37
New World Birkenhead,6,7,5,8,8,2,0,,36
New World Botany,7,6,6,8,6,2,0,,35
New World Browns Bay,6,6,6,8,6,1,0,,33
New World Devonport,5,6,8,8,6,2,0,,35
New World Eastridge,6,5,5,8,6,2,0,,32
New World Green Bay,5,5,7,7,8,2,0,,34
New World Hobsonville,6,6,6,7,6,2,0,,33
New World Howick,6,7,7,7,7,2,0,,36
New World Long Bay,6,6,7,6,7,2,0,,34
New World Metro Queen St,2,2,2,2,3,1,0,,12
New World Metro Shore City,1,3,1,2,2,0,0,,9
New World Milford,6,8,7,6,8,1,0,,36
New World Mt Albert,6,8,6,8,6,2,0,,36
New World Mt Roskill,6,6,8,6,7,2,0,,35
New World New Lynn,4,6,6,7,7,2,0,,32
New World Newmarket,6,6,8,7,8,2,0,,37
New World Ormiston,6,5,6,7,7,2,0,,33
New World Papakura,7,7,5,6,7,2,0,,34
New World Papatoetoe,7,7,8,6,6,2,0,,36
New World Point Chevalier,6,5,6,6,6,2,0,,31
New World Remuera,7,7,7,6,7,1,0,,35
New World Southmall,6,6,6,6,5,2,0,,31
New World Stonefields,6,5,8,6,6,2,0,,33
New World Victoria Park,7,8,4,7,6,2,0,,34
Pak 'n Save Albany,8,9,12,8,10,4,0,,51
Pak 'n Save Botany,10,10,8,6,8,5,0,,47
Pak 'n Save Clendon,9,9,10,10,8,5,0,,51
Pak 'n Save Glen Innes,9,10,12,9,9,5,0,,54
Pak 'n Save Henderson,11,8,10,9,8,6,0,,52
Pak 'n Save Highland Park,10,8,8,8,6,4,0,,44
Pak 'n Save Lincoln Road,8,10,7,12,10,6,0,,53
Pak 'n Save Mangere,8,8,10,8,8,6,0,,48
Pak 'n Save Manukau,6,8,10,7,10,4,0,,45
Pak 'n Save Mt Albert,7,8,10,8,8,4,0,,45
Pak 'n Save Ormiston,8,10,8,8,8,5,0,,47
Pak 'n Save Papakura,6,8,10,9,9,5,0,,47
Pak 'n Save Royal Oak,6,11,9,9,10,6,0,,51
Pak 'n Save Sylvia Park,10,10,10,10,10,5,0,,55
Pak 'n Save Wairau Road,6,8,10,8,10,4,0,,46
Pak 'n Save Westgate,8,10,8,12,11,4,0,,53
