Supermarket,Weekday,Pallet Size
Four Square Botany Junction,Monday,3
Four Square Botany Junction,Tuesday,4
Four Square Botany Junction,Wednesday,4
Four Square Botany Junction,Thursday,2
Four Square Botany Junction,Friday,4
Four Square Botany Junction,Saturday,0
Four Square Botany Junction,Sunday,
Four Square Britomart,Monday,2
Four Square Britomart,Tuesday,2
Four Square Britomart,Wednesday,3
Four Square Britomart,Thursday,3
Four Square Britomart,Friday,3
Four Square Britomart,Saturday,0
Four Square Britomart,Sunday,
Four Square Cockle Bay,Monday,2
Four Square Cockle Bay,Tuesday,4
Four Square Cockle Bay,Wednesday,2
Four Square Cockle Bay,Thursday,3
Four Square Cockle Bay,Friday,3
Four Square Cockle Bay,Saturday,0
Four Square Cockle Bay,Sunday,
Four Square Eden Terrace,Monday,3
Four Square Eden Terrace,Tuesday,2
Four Square Eden Terrace,Wednesday,3
Four Square Eden Terrace,Thursday,4
Four Square Eden Terrace,Friday,3
Four Square Eden Terrace,Saturday,0
Four Square Eden Terrace,Sunday,
Four Square Ellerslie,Monday,2
Four Square Ellerslie,Tuesday,4
Four Square Ellerslie,Wednesday,3
Four Square Ellerslie,Thursday,3
Four Square Ellerslie,Friday,2
Four Square Ellerslie,Saturday,1
Four Square Ellerslie,Sunday,
Four Square Fair Price Henderson,Monday,3
Four Square Fair Price Henderson,Tuesday,5
Four Square Fair Price Henderson,Wednesday,3
Four Square Fair Price Henderson,Thursday,3
Four Square Fair Price Henderson,Friday,3
Four Square Fair Price Henderson,Saturday,1
Four Square Fair Price Henderson,Sunday,
Four Square Glen Eden,Monday,2
Four Square Glen Eden,Tuesday,3
Four Square Glen Eden,Wednesday,3
Four Square Glen Eden,Thursday,5
Four Square Glen Eden,Friday,3
Four Square Glen Eden,Saturday,2
Four Square Glen Eden,Sunday,
Four Square Hobsonville,Monday,4
Four Square Hobsonville,Tuesday,4
Four Square Hobsonville,Wednesday,3
Four Square Hobsonville,Thursday,4
Four Square Hobsonville,Friday,2
Four Square Hobsonville,Saturday,2
Four Square Hobsonville,Sunday,
Four Square Lancaster,Monday,3
Four Square Lancaster,Tuesday,3
Four Square Lancaster,Wednesday,4
Four Square Lancaster,Thursday,4
Four Square Lancaster,Friday,3
Four Square Lancaster,Saturday,0
Four Square Lancaster,Sunday,
Four Square Onehunga,Monday,2
Four Square Onehunga,Tuesday,4
Four Square Onehunga,Wednesday,3
Four Square Onehunga,Thursday,2
Four Square Onehunga,Friday,3
Four Square Onehunga,Saturday,1
Four Square Onehunga,Sunday,
Four Square Pakuranga Heights,Monday,2
Four Square Pakuranga Heights,Tuesday,4
Four Square Pakuranga Heights,Wednesday,3
Four Square Pakuranga Heights,Thursday,3
Four Square Pakuranga Heights,Friday,3
Four Square Pakuranga Heights,Saturday,2
Four Square Pakuranga Heights,Sunday,
Four Square Remuera,Monday,3
