route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Mon_00001,Four Square Onehunga,1,3,4794.43,01:19:54
Mon_00002,Four Square Glen Eden,1,3,5805.3,01:36:45
Mon_00003,Four Square Britomart,1,3,6164.43,01:42:44
Mon_00004,New World Metro Shore City,1,2,6295.23,01:44:55
Mon_00005,Four Square Pakuranga Heights,1,2,6442.04,01:47:22
Mon_00006,Four Square Fair Price Henderson,1,3,6493.13,01:48:13
Mon_00007,Four Square Ellerslie,1,3,6640.42,01:50:40
Mon_00008,Four Square Eden Terrace,1,4,6692.55,01:51:32
Mon_00009,New World Mt Roskill,1,7,7952.66,02:12:32
Mon_00010,Four Square Hobsonville,1,4,8033.54,02:13:53
Mon_00011,Four Square Lancaster,1,3,8085.84,02:14:45
Mon_00012,New World New Lynn,1,6,8141.69,02:15:41
Mon_00013,New World Green Bay,1,6,8205.54,02:16:45
Mon_00014,Four Square Cockle Bay,1,3,8745.24,02:25:45
Mon_00015,Four Square St Heliers,1,4,9117.79,02:31:57
Mon_00016,New World Mt Albert,1,8,10093.78,02:48:13
Mon_00017,Four Square Ellerslie;Four Square Remuera,2,6,10096.74,02:48:16
Mon_00018,Four Square Britomart;New World Metro Queen St,2,7,10549.9,02:55:49
Mon_00019,Four Square Torbay,1,4,10576.52,02:56:16
Mon_00020,New World Point Chevalier,1,8,10724.17,02:58:44
Mon_00021,Pak 'n Save Mt Albert,1,9,11019.27,03:03:39
Mon_00022,New World Southmall,1,7,11353.98,03:09:13
Mon_00023,New World Newmarket,1,8,11374.83,03:09:34
Mon_00024,Pak 'n Save Lincoln Road,1,8,11481.89,03:11:21
Mon_00025,New World Stonefields,1,7,11491.35,03:11:31
Mon_00026,New World Papatoetoe,1,8,11685.88,03:14:45
Mon_00027,New World Birkenhead,1,7,11785.77,03:16:25
Mon_00028,New World Devonport,1,6,11988.05,03:19:48
Mon_00029,New World Milford,1,7,12087.21,03:21:27
Mon_00030,New World Mt Roskill;Four Square Onehunga,2,10,12395.87,03:26:35
Mon_00031,Pak 'n Save Royal Oak,1,10,12413.54,03:26:53
Mon_00032,Four Square Glen Eden;New World Green Bay,2,9,12446.09,03:27:26
Mon_00033,Four Square Glen Eden;New World New Lynn,2,9,12464.23,03:27:44
Mon_00034,New World Green Bay;Four Square Glen Eden,2,9,12484.07,03:28:04
Mon_00035,New World Victoria Park,1,9,12511.39,03:28:31
Mon_00036,New World Howick,1,7,12709.9,03:31:49
Mon_00037,New World Eastridge,1,8,12795.46,03:33:15
Mon_00038,Pak 'n Save Wairau Road,1,8,12920.95,03:35:20
Mon_00039,New World Remuera,1,9,12950.35,03:35:50
Mon_00040,New World Ormiston,1,8,12976.64,03:36:16
Mon_00041,Pak 'n Save Manukau,1,9,13076.7,03:37:56
Mon_00042,Pak 'n Save Mangere,1,10,13119.57,03:38:39
Mon_00043,New World Mt Roskill;Four Square Glen Eden,2,10,13492.98,03:44:52
Mon_00044,New World Long Bay,1,7,13716.92,03:48:36
Mon_00045,New World Mt Roskill;Four Square Britomart,2,10,13765.87,03:49:25
Mon_00046,Pak 'n Save Westgate,1,10,14039.0,03:53:59
Mon_00047,New World Mt Roskill;Four Square Fair Price Henderson,2,10,14094.57,03:54:54
Mon_00048,New World Mt Roskill;Four Square Remuera,2,10,14250.26,03:57:30
