route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Fri_00001,Four Square Ellerslie,1,2,5560.42,01:32:40
Fri_00002,Four Square Glen Eden,1,3,5805.3,01:36:45
Fri_00003,Four Square Onehunga,1,4,5874.43,01:37:54
Fri_00004,Four Square Fair Price Henderson,1,3,6493.13,01:48:13
Fri_00005,Four Square Eden Terrace,1,4,6692.55,01:51:32
Fri_00006,Four Square Hobsonville,1,3,6953.54,01:55:53
Fri_00007,New World Metro Queen St,1,4,7173.37,01:59:33
Fri_00008,Four Square Britomart,1,4,7244.43,02:00:44
Fri_00009,New World Metro Shore City,1,3,7375.23,02:02:55
Fri_00010,Four Square Remuera,1,4,7728.82,02:08:48
Fri_00011,Four Square Botany Junction,1,4,8360.98,02:19:20
Fri_00012,New World Point Chevalier,1,6,8564.17,02:22:44
Fri_00013,Four Square Pakuranga Heights,1,4,8602.04,02:23:22
Fri_00014,New World Mt Albert,1,7,9013.78,02:30:13
Fri_00015,New World Mt Roskill,1,8,9032.66,02:30:32
Fri_00016,Four Square St Heliers,1,4,9117.79,02:31:57
Fri_00017,Four Square Cockle Bay,1,4,9825.24,02:43:45
Fri_00018,Four Square Remuera;Four Square Ellerslie,2,6,10255.64,02:50:55
Fri_00019,New World New Lynn,1,8,10301.69,02:51:41
Fri_00020,Four Square Glen Eden;Four Square Fair Price Henderson,2,6,10461.59,02:54:21
Fri_00021,Four Square Torbay,1,4,10576.52,02:56:16
Fri_00022,New World Papatoetoe,1,7,10605.88,02:56:45
Fri_00023,New World Southmall,1,7,11353.98,03:09:13
Fri_00024,New World Victoria Park,1,8,11431.39,03:10:31
Fri_00025,New World Green Bay,1,9,11445.54,03:10:45
Fri_00026,Four Square Britomart;New World Metro Queen St,2,8,11629.9,03:13:49
Fri_00027,New World Metro Queen St;Four Square Britomart,2,8,11659.84,03:14:19
Fri_00028,New World Eastridge,1,7,11715.46,03:15:15
Fri_00029,Four Square Eden Terrace;Four Square Fair Price Henderson,2,7,11827.79,03:17:07
Fri_00030,New World Remuera,1,8,11870.35,03:17:50
Fri_00031,Four Square Eden Terrace;Four Square Britomart,2,8,11881.64,03:18:01
Fri_00032,Four Square Onehunga;New World Metro Shore City,2,7,12213.13,03:23:33
Fri_00033,New World Hobsonville,1,8,12329.76,03:25:29
Fri_00034,New World Newmarket,1,9,12454.83,03:27:34
Fri_00035,Four Square Remuera;Four Square Fair Price Henderson,2,7,12864.06,03:34:24
Fri_00036,New World Ormiston,1,8,12976.64,03:36:16
Fri_00037,New World Devonport,1,7,13068.05,03:37:48
Fri_00038,Pak 'n Save Mangere,1,10,13119.57,03:38:39
Fri_00039,New World Point Chevalier;Four Square Glen Eden,2,9,13431.06,03:43:51
Fri_00040,New World Botany,1,8,13431.66,03:43:51
Fri_00041,New World Papakura,1,8,13477.54,03:44:37
Fri_00042,New World Point Chevalier;Four Square Eden Terrace,2,10,13649.29,03:47:29
Fri_00043,New World Long Bay,1,7,13716.92,03:48:36
Fri_00044,Four Square Pakuranga Heights;Four Square Fair Price Henderson,2,7,13737.28,03:48:57
Fri_00045,New World Howick,1,8,13789.9,03:49:49
Fri_00046,New World Birkenhead,1,9,13945.77,03:52:25
Fri_00047,New World Albany,1,8,13996.37,03:53:16
Fri_00048,Four Square Lancaster;Four Square Eden Terrace,2,8,14067.48,03:54:27
Fri_00049,Four Square Cockle Bay;Four Square Botany Junction,2,8,14106.07,03:55:06
Fri_00050,New World Point Chevalier;New World Metro Queen St,2,10,14130.12,03:55:30
Fri_00051,Pak 'n Save Ormiston,1,9,14137.23,03:55:37
Fri_00052,Four Square Torbay;Four Square Hobsonville,2,7,14143.75,03:55:43
Fri_00053,Pak 'n Save Henderson,1,10,14151.09,03:55:51
Fri_00054,New World Milford,1,9,14247.21,03:57:27
Fri_00055,Pak 'n Save Mt Albert,1,12,14259.27,03:57:39
Fri_00056,New World Mt Albert;Four Square Eden Terrace,2,11,14315.73,03:58:35
Fri_00057,New World Browns Bay,1,8,14372.45,03:59:32
Fri_00058,New World Mt Albert;Four Square Fair Price Henderson,2,10,14448.21,04:00:48
Fri_00059,Pak 'n Save Highland Park,1,9,14478.37,04:01:18
Fri_00060,New World Eastridge;Four Square Ellerslie,2,9,14480.08,04:01:20
Fri_00061,New World Mt Roskill;Four Square Onehunga,2,12,14555.87,04:02:35
Fri_00062,New World Mt Roskill;Four Square Glen Eden,2,11,14572.98,04:02:52
Fri_00063,Pak 'n Save Royal Oak,1,12,14573.54,04:02:53
Fri_00064,Four Square Onehunga;New World Mt Roskill,2,12,14582.0,04:03:02
Fri_00065,Four Square Glen Eden;New World New Lynn,2,11,14624.23,04:03:44
Fri_00066,Pak 'n Save Lincoln Road,1,11,14721.89,04:05:21
Fri_00067,New World Victoria Park;Four Square Ellerslie,2,10,15064.1,04:11:04
Fri_00068,Pak 'n Save Wairau Road,1,10,15080.95,04:11:20
Fri_00069,New World Mt Roskill;Four Square Fair Price Henderson,2,11,15174.57,04:12:54
Fri_00070,Pak 'n Save Manukau,1,11,15236.7,04:13:56
Fri_00071,Four Square Torbay;Four Square Britomart,2,8,15288.99,04:14:48
Fri_00072,Four Square Onehunga;New World Papatoetoe,2,11,15356.18,04:15:56
Fri_00073,New World Mt Roskill;Four Square Eden Terrace,2,12,15373.99,04:16:13
Fri_00074,Four Square Britomart;Four Square Torbay,2,8,15385.52,04:16:25
Fri_00075,Four Square Eden Terrace;New World Mt Roskill,2,12,15400.12,04:16:40
Fri_00076,Pak 'n Save Papakura,1,10,15471.63,04:17:51
Fri_00077,New World Mt Roskill;Four Square Hobsonville,2,11,15634.98,04:20:34
Fri_00078,New World Hobsonville;Four Square Hobsonville,2,11,15652.02,04:20:52
Fri_00079,Four Square Hobsonville;New World Hobsonville,2,11,15666.28,04:21:06
Fri_00080,Pak 'n Save Clendon,1,11,15687.34,04:21:27
Fri_00081,New World Green Bay;Four Square Glen Eden,2,12,15724.07,04:22:04
Fri_00082,Pak 'n Save Botany,1,10,15737.42,04:22:17
Fri_00083,Pak 'n Save Sylvia Park,1,11,15809.55,04:23:29
Fri_00084,New World Mt Roskill;New World Metro Queen St,2,12,15854.81,04:24:14
Fri_00085,New World Metro Queen St;New World Mt Roskill,2,12,15880.95,04:24:40
Fri_00086,New World Mt Roskill;Four Square Britomart,2,12,15925.87,04:25:25
Fri_00087,New World Mt Roskill;New World Metro Shore City,2,11,16056.68,04:27:36
Fri_00088,Pak 'n Save Albany,1,10,16059.99,04:27:39
Fri_00089,New World Victoria Park;New World Metro Queen St,2,12,16087.22,04:28:07
Fri_00090,Four Square Eden Terrace;New World Victoria Park,2,12,16096.59,04:28:16
Fri_00091,New World Papatoetoe;Four Square Botany Junction,2,11,16106.6,04:28:26
Fri_00092,New World Mt Albert;New World Point Chevalier,2,13,16148.72,04:29:08
Fri_00093,New World Southmall;Four Square Onehunga,2,11,16182.72,04:29:42
Fri_00094,New World Victoria Park;Four Square Britomart,2,12,16190.73,04:29:50
Fri_00095,Four Square Remuera;New World Eastridge,2,11,16205.47,04:30:05
Fri_00096,New World Point Chevalier;New World Mt Albert,2,13,16248.52,04:30:48
Fri_00097,Four Square Eden Terrace;New World New Lynn,2,12,16256.89,04:30:56
Fri_00098,Four Square Onehunga;New World Victoria Park,2,12,16284.12,04:31:24
Fri_00099,New World New Lynn;Four Square Eden Terrace,2,12,16318.24,04:31:58
Fri_00100,New World Howick;Four Square Ellerslie,2,10,16362.67,04:32:42
Fri_00101,New World Mt Roskill;Four Square Remuera,2,12,16410.26,04:33:30
Fri_00102,New World Papatoetoe;Four Square Fair Price Henderson,2,10,16442.55,04:34:02
Fri_00103,Four Square Glen Eden;New World Victoria Park,2,11,16464.97,04:34:24
Fri_00104,New World Remuera;Four Square Remuera,2,12,16469.85,04:34:29
Fri_00105,Four Square Remuera;New World Remuera,2,12,16578.6,04:36:18
Fri_00106,New World Metro Shore City;New World Devonport,2,10,16580.84,04:36:20
Fri_00107,New World Victoria Park;Four Square Onehunga,2,12,16591.13,04:36:31
Fri_00108,New World Southmall;Four Square Botany Junction,2,11,16603.11,04:36:43
Fri_00109,Pak 'n Save Glen Innes,1,11,16723.24,04:38:43
Fri_00110,New World Papatoetoe;New World Metro Shore City,2,10,16758.02,04:39:18
Fri_00111,Four Square Glen Eden;New World Hobsonville,2,11,16801.02,04:40:01
Fri_00112,New World Remuera;New World Metro Queen St,2,12,16840.65,04:40:40
Fri_00113,Four Square St Heliers;New World Eastridge,2,11,16867.45,04:41:07
Fri_00114,New World Mt Albert;Four Square Botany Junction,2,11,16872.76,04:41:12
Fri_00115,New World Mt Albert;Four Square St Heliers,2,11,16902.0,04:41:42
Fri_00116,Four Square Onehunga;New World Green Bay,2,13,16922.25,04:42:02
Fri_00117,New World Mt Albert;Four Square Lancaster,2,11,16950.05,04:42:30
Fri_00118,Four Square Onehunga;New World Metro Shore City;Four Square Britomart,3,11,17105.02,04:45:05
Fri_00119,New World Mt Roskill;New World Point Chevalier,2,14,17245.61,04:47:25
Fri_00120,Pak 'n Save Westgate,1,13,17279.0,04:47:59
Fri_00121,New World Mt Roskill;Four Square Pakuranga Heights,2,12,17283.48,04:48:03
Fri_00122,Four Square Pakuranga Heights;New World Mt Roskill,2,12,17309.62,04:48:29
