route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Sat_00001,New World Mt Roskill,1,2,2552.66,00:42:32
Sat_00002,Four Square Onehunga,1,1,2634.43,00:43:54
Sat_00003,Four Square Eden Terrace,1,1,3452.55,00:57:32
Sat_00004,Four Square Glen Eden,1,1,3645.3,01:00:45
Sat_00005,Four Square Fair Price Henderson,1,1,4333.13,01:12:13
Sat_00006,Four Square Ellerslie,1,1,4480.42,01:14:40
Sat_00007,Four Square Remuera,1,1,4488.82,01:14:48
Sat_00008,New World Mt Albert,1,3,4693.78,01:18:13
Sat_00009,Four Square Hobsonville,1,1,4793.54,01:19:53
Sat_00010,New World Mt Roskill;Four Square Onehunga,2,3,4835.87,01:20:35
Sat_00011,New World New Lynn,1,3,4901.69,01:21:41
Sat_00012,New World Green Bay,1,3,4965.54,01:22:45
Sat_00013,New World Metro Queen St,1,2,5013.37,01:23:33
Sat_00014,New World Mt Roskill;Four Square Eden Terrace,2,3,5653.99,01:34:13
Sat_00015,Four Square Ellerslie;Four Square Eden Terrace,2,2,5777.67,01:36:17
Sat_00016,Four Square St Heliers,1,1,5877.79,01:37:57
Sat_00017,New World Mt Roskill;Four Square Glen Eden,2,3,5932.98,01:38:52
Sat_00018,New World Victoria Park,1,3,6031.39,01:40:31
Sat_00019,New World Papatoetoe,1,3,6285.88,01:44:45
Sat_00020,Four Square Eden Terrace;New World Metro Queen St,2,3,6315.17,01:45:15
Sat_00021,Four Square Pakuranga Heights,1,2,6442.04,01:47:22
Sat_00022,New World Mt Roskill;Four Square Fair Price Henderson,2,3,6534.57,01:48:54
Sat_00023,New World Mt Roskill;Four Square Ellerslie,2,3,6681.86,01:51:21
Sat_00024,Pak 'n Save Mt Albert,1,5,6699.27,01:51:39
Sat_00025,Four Square Eden Terrace;New World Remuera,2,3,6742.39,01:52:22
Sat_00026,New World Mt Roskill;New World Mt Albert,2,5,6895.22,01:54:55
Sat_00027,New World Hobsonville,1,3,6929.76,01:55:29
Sat_00028,New World Mt Roskill;Four Square Hobsonville,2,3,6994.98,01:56:34
Sat_00029,New World Southmall,1,3,7033.98,01:57:13
Sat_00030,New World Stonefields,1,3,7171.35,01:59:31
Sat_00031,New World Mt Roskill;New World New Lynn,2,5,7189.37,01:59:49
Sat_00032,New World Mt Roskill;Four Square Onehunga;Four Square Eden Terrace,3,4,7192.98,01:59:52
Sat_00033,New World Mt Roskill;New World Metro Queen St,2,4,7214.81,02:00:14
Sat_00034,New World Green Bay;New World Mt Roskill,2,5,7253.21,02:00:53
Sat_00035,New World Mt Roskill;New World Green Bay,2,5,7253.22,02:00:53
Sat_00036,Four Square Torbay,1,1,7336.52,02:02:16
Sat_00037,New World Eastridge,1,3,7395.46,02:03:15
Sat_00038,New World Mt Roskill;New World Metro Shore City,2,3,7416.68,02:03:36
Sat_00039,New World Mt Roskill;New World Point Chevalier,2,5,7525.61,02:05:25
Sat_00040,New World Ormiston,1,3,7576.64,02:06:16
Sat_00041,New World Mt Roskill;New World Remuera,2,4,7591.79,02:06:31
Sat_00042,New World Milford,1,3,7767.21,02:09:27
Sat_00043,New World Browns Bay,1,2,7892.45,02:11:32
Sat_00044,New World Mt Roskill;Four Square Ellerslie;Four Square Remuera,3,4,7978.18,02:12:58
Sat_00045,New World Botany,1,3,8031.66,02:13:51
