route_id,mode,stops,num_stops,total_pallets,total_duration_sec,cost
Wed_00018,owned,New World Mt Albert,1,8,10093.78,616.8421111
Wed_00019,owned,New World Mt Roskill,1,9,10112.66,617.9958889
Wed_00020,owned,New World New Lynn,1,8,10301.69,629.5477222
Wed_00035,owned,New World Remuera,1,8,11870.35,725.4102778
Wed_00043,owned,New World Papatoetoe,1,9,12765.88,780.1371111
Wed_00051,owned,Pak 'n Save Royal Oak,1,11,13493.54,824.6052222
Wed_00053,owned,New World Victoria Park;Four Square Britomart,2,10,14030.73,857.4335
Wed_00054,owned,Pak 'n Save Westgate,1,10,14039,857.9388889
Wed_00056,owned,New World Point Chevalier;New World Metro Queen St,2,10,14130.12,863.5073333
Wed_00057,owned,Pak 'n Save Mt Albert,1,12,14259.27,871.3998333
Wed_00059,owned,New World Hobsonville;Four Square Hobsonville,2,10,14572.02,894.8128333
Wed_00061,owned,Four Square Glen Eden;New World Green Bay,2,11,14606.09,897.7466389
Wed_00070,owned,Four Square Onehunga;Four Square Ellerslie;Four Square Remuera,3,11,15180.65,947.2226389
Wed_00073,owned,Pak 'n Save Manukau,1,11,15236.7,952.0491667
Wed_00075,owned,Pak 'n Save Mangere,1,12,15279.57,955.74075
Wed_00084,owned,Pak 'n Save Highland Park,1,10,15558.37,979.7485278
Wed_00089,owned,Pak 'n Save Clendon,1,11,15687.34,990.8542778
Wed_00091,owned,New World Birkenhead;Four Square Lancaster,2,10,15765.15,997.5545833
Wed_00096,owned,New World Newmarket;Four Square Eden Terrace,2,12,15912.09,1010.20775
Wed_00102,owned,Pak 'n Save Wairau Road,1,11,16160.95,1031.637361
Wed_00103,owned,New World Ormiston;Four Square Botany Junction,2,11,16247.96,1039.129889
Wed_00105,owned,Pak 'n Save Henderson,1,12,16311.09,1044.566083
Wed_00107,owned,New World Howick;Four Square Cockle Bay,2,10,16353.01,1048.175861
Wed_00119,owned,New World Milford;New World Metro Shore City,2,11,16603.79,1069.770806
Wed_00125,owned,Pak 'n Save Sylvia Park,1,12,16889.55,1094.377917
Wed_00135,owned,Pak 'n Save Lincoln Road;Four Square Fair Price Henderson,2,13,17326.51,1132.005028
Wed_00137,owned,Pak 'n Save Ormiston,1,12,17377.23,1136.372583
Wed_00143,owned,Pak 'n Save Papakura,1,12,17631.63,1158.27925
Wed_00162,owned,Four Square Torbay;New World Browns Bay,2,11,18293.24,1215.251222
Wed_00187,owned,New World Papakura;New World Southmall,2,13,19216.43,1294.748139
Wed_00295,owned,Pak 'n Save Albany,1,14,20379.99,1394.943583
Wed_00380,owned,New World Stonefields;New World Eastridge,2,15,20933.24,1442.584556
Wed_00411,owned,Four Square Pakuranga Heights;Pak 'n Save Botany,2,15,21055.81,1453.139194
Wed_00722,owned,Pak 'n Save Glen Innes;Four Square St Heliers,2,16,22437.14,1572.087056
SKIP_New World Albany,skipped,New World Albany,0,0,0,800
SKIP_New World Botany,skipped,New World Botany,0,0,0,800
SKIP_New World Devonport,skipped,New World Devonport,0,0,0,800
SKIP_New World Long Bay,skipped,New World Long Bay,0,0,0,800
TOTAL,,,,,,37597.82358
