route_id,mode,stops,num_stops,total_pallets,total_duration_sec,cost
Sat_00064,owned,New World Green Bay;New World New Lynn,2,6,8638.1,527.8838889
Sat_00069,owned,Pak 'n Save Mangere,1,6,8799.57,537.7515
Sat_00092,owned,Four Square Eden Terrace;New World Metro Queen St;New World Victoria Park,3,6,9849.06,601.887
Sat_00222,owned,Four Square Hobsonville;New World Hobsonville;Pak 'n Save Westgate,3,9,13868.03,847.4907222
Sat_00231,owned,Pak 'n Save Clendon;New World Southmall,2,9,14027.84,857.2568889
Sat_00233,owned,Pak 'n Save Mt Albert;New World Point Chevalier;New World Mt Albert,3,11,14066.62,859.6267778
Sat_00243,owned,New World Ormiston;Pak 'n Save Ormiston,2,9,14197.46,867.6225556
Sat_00264,owned,Pak 'n Save Botany;New World Botany,2,9,14691.01,905.0591944
Sat_00265,owned,New World Mt Roskill;Pak 'n Save Royal Oak;New World Newmarket,3,11,14723.1,907.8225
Sat_00266,owned,Pak 'n Save Papakura;New World Papakura,2,9,14730.82,908.4872778
Sat_00282,owned,New World Papatoetoe;Pak 'n Save Manukau;Four Square Botany Junction,3,10,15182.56,947.3871111
Sat_00330,owned,New World Howick;Pak 'n Save Highland Park;Four Square Pakuranga Heights,3,10,16197.82,1034.812278
Sat_00336,owned,New World Eastridge;Pak 'n Save Glen Innes;Four Square St Heliers,3,10,16256.72,1039.884222
Sat_00543,owned,Four Square Onehunga;Pak 'n Save Sylvia Park;New World Stonefields;Four Square Ellerslie;Four Square Remuera;New World Remuera,6,14,19944.63,1357.45425
Sat_00719,owned,Pak 'n Save Lincoln Road;Four Square Fair Price Henderson;Pak 'n Save Henderson;Four Square Glen Eden,4,16,21405.78,1483.2755
Sat_01273,owned,New World Long Bay;Four Square Torbay;New World Browns Bay;New World Albany;Pak 'n Save Albany,5,15,23149.97,1633.469639
Sat_01812,owned,New World Devonport;New World Metro Shore City;New World Milford;Pak 'n Save Wairau Road;New World Birkenhead;Four Square Lancaster,6,16,25362.08,1823.956889
,,,,,,17141.12819
