route_id,mode,stops,num_stops,total_pallets,total_duration_sec,cost
Tue_00010,owned,New World Mt Roskill,1,7,7952.66,485.9958888888889
Tue_00018,owned,New World New Lynn,1,7,9221.69,563.5477222222222
Tue_00021,owned,New World Mt Albert,1,8,10093.78,616.8421111111111
Tue_00037,owned,Pak 'n Save Mt Albert,1,10,12099.27,739.3998333333334
Tue_00045,owned,New World Victoria Park,1,9,12511.39,764.5849444444444
Tue_00050,owned,Pak 'n Save Mangere,1,10,13119.57,801.7515
Tue_00064,owned,Four Square Eden Terrace;New World Metro Queen St;Four Square Britomart,3,10,14041.64,858.1002222222222
Tue_00066,owned,Pak 'n Save Henderson,1,10,14151.09,864.7888333333334
Tue_00073,owned,Four Square Fair Price Henderson;New World Point Chevalier,2,10,14526.04,890.8534444444446
Tue_00077,owned,Pak 'n Save Royal Oak,1,12,14573.54,894.9437222222223
Tue_00079,owned,Four Square Glen Eden;New World Green Bay,2,11,14606.09,897.7466388888889
Tue_00083,owned,Pak 'n Save Lincoln Road,1,11,14721.89,907.7183055555556
Tue_00090,owned,Pak 'n Save Westgate,1,11,15119.0,941.9138888888889
Tue_00092,owned,Four Square Botany Junction;New World Ormiston,2,10,15215.12,950.1908888888889
Tue_00093,owned,Pak 'n Save Manukau,1,11,15236.7,952.0491666666666
Tue_00102,owned,New World Hobsonville;Four Square Hobsonville,2,11,15652.02,987.8128333333333
Tue_00104,owned,Pak 'n Save Clendon,1,11,15687.34,990.8542777777778
Tue_00105,owned,Pak 'n Save Sylvia Park,1,11,15809.55,1001.3779166666667
Tue_00108,owned,New World Stonefields;Four Square Remuera,2,11,15962.13,1014.5167499999998
Tue_00118,owned,Pak 'n Save Ormiston,1,11,16297.23,1043.3725833333333
Tue_00122,owned,Pak 'n Save Papakura,1,11,16551.63,1065.2792500000003
Tue_00133,owned,New World Birkenhead;Four Square Lancaster,2,11,16845.15,1090.5545833333333
Tue_00148,owned,New World Newmarket;Four Square Ellerslie;Four Square Onehunga,3,13,17303.92,1130.0597777777778
Tue_00272,owned,New World Remuera;New World Eastridge,2,14,19395.15,1310.1379166666668
Tue_00338,owned,Pak 'n Save Wairau Road;New World Metro Shore City,2,14,19847.47,1349.0876944444447
Tue_00377,owned,Pak 'n Save Highland Park;Four Square Pakuranga Heights,2,14,20050.91,1366.606138888889
Tue_00416,owned,Pak 'n Save Glen Innes;Four Square St Heliers,2,14,20277.14,1386.0870555555557
Tue_00444,owned,New World Papatoetoe;New World Southmall,2,15,20377.05,1394.6904166666668
Tue_00629,owned,New World Albany;New World Browns Bay,2,14,21134.75,1459.9368055555556
Tue_01045,owned,Four Square Cockle Bay;Pak 'n Save Botany,2,16,22756.61,1599.5969722222223
Tue_01079,owned,Pak 'n Save Albany;Four Square Torbay,2,15,22866.38,1609.049388888889
SKIP_New World Botany,skipped,New World Botany,0,0,0,800.0
SKIP_New World Devonport,skipped,New World Devonport,0,0,0,800.0
SKIP_New World Howick,skipped,New World Howick,0,0,0,800.0
SKIP_New World Long Bay,skipped,New World Long Bay,0,0,0,800.0
SKIP_New World Milford,skipped,New World Milford,0,0,0,800.0
SKIP_New World Papakura,skipped,New World Papakura,0,0,0,800.0
