route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Thu_00001,Four Square Onehunga,1,2,3714.43,01:01:54
Thu_00002,Four Square Fair Price Henderson,1,3,6493.13,01:48:13
Thu_00003,Four Square Eden Terrace,1,4,6692.55,01:51:32
Thu_00004,New World Metro Queen St,1,4,7173.37,01:59:33
Thu_00005,Four Square Britomart,1,4,7244.43,02:00:44
Thu_00006,Four Square Botany Junction,1,3,7280.98,02:01:20
Thu_00007,New World Metro Shore City,1,3,7375.23,02:02:55
Thu_00008,Four Square Pakuranga Heights,1,3,7522.04,02:05:22
Thu_00009,Four Square Ellerslie,1,4,7720.42,02:08:40
Thu_00010,Four Square Remuera,1,4,7728.82,02:08:48
Thu_00011,Four Square Glen Eden,1,5,7965.3,02:12:45
Thu_00012,Four Square Hobsonville,1,4,8033.54,02:13:53
Thu_00013,Four Square Cockle Bay,1,3,8745.24,02:25:45
Thu_00014,New World Mt Roskill,1,8,9032.66,02:30:32
Thu_00015,Four Square St Heliers,1,4,9117.79,02:31:57
Thu_00016,Four Square Lancaster,1,4,9165.84,02:32:45
Thu_00017,Four Square Ellerslie;Four Square Onehunga,2,6,9523.02,02:38:43
Thu_00018,New World Point Chevalier,1,7,9644.17,02:40:44
Thu_00019,Four Square Onehunga;Four Square Britomart,2,6,9855.51,02:44:15
Thu_00020,Four Square Onehunga;Four Square Botany Junction,2,5,9871.28,02:44:31
Thu_00021,New World Newmarket,1,7,10294.83,02:51:34
Thu_00022,New World New Lynn,1,8,10301.69,02:51:41
Thu_00023,New World Green Bay,1,8,10365.54,02:52:45
Thu_00024,New World Papatoetoe,1,7,10605.88,02:56:45
Thu_00025,New World Mt Albert,1,9,11173.78,03:06:13
Thu_00026,New World Southmall,1,7,11353.98,03:09:13
Thu_00027,Four Square Britomart;New World Metro Queen St,2,8,11629.9,03:13:49
Thu_00028,New World Metro Queen St;Four Square Britomart,2,8,11659.84,03:14:19
Thu_00029,New World Remuera,1,8,11870.35,03:17:50
Thu_00030,Pak 'n Save Mt Albert,1,10,12099.27,03:21:39
Thu_00031,New World Metro Shore City;New World Metro Queen St,2,7,12206.35,03:23:26
Thu_00032,Four Square Ellerslie;Four Square Remuera,2,8,12256.74,03:24:16
Thu_00033,Four Square Eden Terrace;Four Square Ellerslie,2,8,12312.46,03:25:12
Thu_00034,New World Hobsonville,1,8,12329.76,03:25:29
Thu_00035,New World Mt Roskill;Four Square Onehunga,2,10,12395.87,03:26:35
Thu_00036,New World Papakura,1,7,12397.54,03:26:37
Thu_00037,Pak 'n Save Royal Oak,1,10,12413.54,03:26:53
