route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Tue_00001,Four Square Onehunga,1,3,4794.43,01:19:54
Tue_00002,Four Square Eden Terrace,1,3,5612.55,01:33:32
Tue_00003,Four Square Britomart,1,3,6164.43,01:42:44
Tue_00004,Four Square Glen Eden,1,4,6885.3,01:54:45
Tue_00005,Four Square Hobsonville,1,3,6953.54,01:55:53
Tue_00006,New World Metro Queen St,1,4,7173.37,01:59:33
Tue_00007,Four Square Fair Price Henderson,1,4,7573.13,02:06:13
Tue_00008,Four Square Ellerslie,1,4,7720.42,02:08:40
Tue_00009,Four Square Remuera,1,4,7728.82,02:08:48
Tue_00010,New World Mt Roskill,1,7,7952.66,02:12:32
Tue_00011,Four Square St Heliers,1,3,8037.79,02:13:57
Tue_00012,Four Square Lancaster,1,3,8085.84,02:14:45
Tue_00013,Four Square Botany Junction,1,4,8360.98,02:19:20
Tue_00014,New World Metro Shore City,1,4,8455.23,02:20:55
Tue_00015,New World Point Chevalier,1,6,8564.17,02:22:44
Tue_00016,Four Square Pakuranga Heights,1,4,8602.04,02:23:22
Tue_00017,New World Newmarket,1,6,9214.83,02:33:34
Tue_00018,New World New Lynn,1,7,9221.69,02:33:41
Tue_00019,New World Green Bay,1,7,9285.54,02:34:45
Tue_00020,Four Square Cockle Bay,1,4,9825.24,02:43:45
Tue_00021,New World Mt Albert,1,8,10093.78,02:48:13
Tue_00022,Four Square Torbay,1,4,10576.52,02:56:16
Tue_00023,New World Metro Queen St;Four Square Britomart,2,7,10579.84,02:56:19
Tue_00024,New World Eastridge,1,6,10635.46,02:57:15
Tue_00025,New World Metro Queen St;Four Square Eden Terrace,2,7,10636.85,02:57:16
Tue_00026,Four Square Onehunga;Four Square Remuera,2,7,10751.23,02:59:11
Tue_00027,New World Ormiston,1,6,10816.64,03:00:16
Tue_00028,Four Square Eden Terrace;Four Square Hobsonville,2,6,11208.2,03:06:48
Tue_00029,Four Square Eden Terrace;Four Square Ellerslie,2,7,11232.46,03:07:12
Tue_00030,Four Square Glen Eden;Four Square Onehunga,2,7,11329.79,03:08:49
Tue_00031,New World Southmall,1,7,11353.98,03:09:13
Tue_00032,New World Stonefields,1,7,11491.35,03:11:31
Tue_00033,New World Papatoetoe,1,8,11685.88,03:14:45
Tue_00034,Four Square Glen Eden;Four Square Eden Terrace,2,7,11726.13,03:15:26
Tue_00035,New World Remuera,1,8,11870.35,03:17:50
Tue_00036,Four Square Onehunga;Four Square Botany Junction,2,7,12031.28,03:20:31
Tue_00037,Pak 'n Save Mt Albert,1,10,12099.27,03:21:39
Tue_00038,Four Square Ellerslie;Four Square Remuera,2,8,12256.74,03:24:16
Tue_00039,New World Hobsonville,1,8,12329.76,03:25:29
Tue_00040,New World Mt Roskill;Four Square Onehunga,2,10,12395.87,03:26:35
Tue_00041,Four Square Remuera;Four Square Ellerslie,2,8,12415.64,03:26:55
Tue_00042,Four Square Onehunga;New World Mt Roskill,2,10,12422.0,03:27:02
Tue_00043,Four Square Ellerslie;Four Square St Heliers,2,7,12445.31,03:27:25
Tue_00044,Four Square Eden Terrace;New World Point Chevalier,2,9,12483.44,03:28:03
Tue_00045,New World Victoria Park,1,9,12511.39,03:28:31
Tue_00046,Four Square Onehunga;New World Newmarket,2,9,12638.76,03:30:38
Tue_00047,Four Square Eden Terrace;New World Newmarket,2,9,12726.87,03:32:06
Tue_00048,New World Birkenhead,1,8,12865.77,03:34:25
Tue_00049,New World Albany,1,7,12916.37,03:35:16
Tue_00050,Pak 'n Save Mangere,1,10,13119.57,03:38:39
Tue_00051,Four Square Britomart;New World Newmarket,2,9,13189.28,03:39:49
Tue_00052,New World Mt Roskill;Four Square Eden Terrace,2,10,13213.99,03:40:13
Tue_00053,New World Metro Shore City;Four Square Lancaster,2,7,13288.4,03:41:28
Tue_00054,New World Browns Bay,1,7,13292.45,03:41:32
Tue_00055,Four Square Remuera;Four Square Hobsonville,2,7,13324.47,03:42:04
Tue_00056,New World Metro Queen St;Four Square Fair Price Henderson,2,8,13388.61,03:43:08
Tue_00057,New World Botany,1,8,13431.66,03:43:51
Tue_00058,New World Papakura,1,8,13477.54,03:44:37
Tue_00059,Four Square Ellerslie;Four Square Botany Junction,2,8,13647.85,03:47:27
Tue_00060,Four Square Lancaster;Four Square Remuera,2,7,13655.67,03:47:35
Tue_00061,New World Mt Roskill;Four Square Britomart,2,10,13765.87,03:49:25
Tue_00062,Four Square Fair Price Henderson;Four Square Ellerslie,2,8,13885.91,03:51:25
Tue_00063,Four Square Remuera;Four Square Fair Price Henderson,2,8,13944.06,03:52:24
Tue_00064,Four Square Eden Terrace;New World Metro Queen St;Four Square Britomart,3,10,14041.64,03:54:01
Tue_00065,New World Devonport,1,8,14148.05,03:55:48
Tue_00066,Pak 'n Save Henderson,1,10,14151.09,03:55:51
Tue_00067,New World Newmarket;New World Metro Queen St,2,10,14185.13,03:56:25
Tue_00068,Four Square Pakuranga Heights;Four Square Hobsonville,2,7,14197.69,03:56:37
Tue_00069,Four Square Torbay;Four Square Onehunga,2,7,14245.56,03:57:25
Tue_00070,New World Milford,1,9,14247.21,03:57:27
Tue_00071,New World Mt Albert;Four Square Eden Terrace,2,11,14315.73,03:58:35
Tue_00072,New World Point Chevalier;Four Square Glen Eden,2,10,14511.06,04:01:51
Tue_00073,Four Square Fair Price Henderson;New World Point Chevalier,2,10,14526.04,04:02:06
Tue_00074,New World Newmarket;Four Square St Heliers,2,9,14551.56,04:02:31
Tue_00075,New World Mt Roskill;Four Square Hobsonville,2,10,14554.98,04:02:34
Tue_00076,New World Mt Roskill;Four Square Glen Eden,2,11,14572.98,04:02:52
Tue_00077,Pak 'n Save Royal Oak,1,12,14573.54,04:02:53
Tue_00078,Four Square Ellerslie;New World Point Chevalier,2,10,14591.31,04:03:11
Tue_00079,Four Square Glen Eden;New World Green Bay,2,11,14606.09,04:03:26
Tue_00080,Four Square Glen Eden;New World New Lynn,2,11,14624.23,04:03:44
Tue_00081,New World Green Bay;Four Square Glen Eden,2,11,14644.07,04:04:04
Tue_00082,New World New Lynn;Four Square Britomart,2,10,14710.12,04:05:10
Tue_00083,Pak 'n Save Lincoln Road,1,11,14721.89,04:05:21
