route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Wed_00001,Four Square Glen Eden,1,3,5805.3,01:36:45
Wed_00002,Four Square Onehunga,1,4,5874.43,01:37:54
Wed_00003,New World Metro Queen St,1,3,6093.37,01:41:33
Wed_00004,Four Square Ellerslie,1,3,6640.42,01:50:40
Wed_00005,Four Square Eden Terrace,1,4,6692.55,01:51:32
Wed_00006,Four Square Hobsonville,1,3,6953.54,01:55:53
Wed_00007,Four Square Britomart,1,4,7244.43,02:00:44
Wed_00008,New World Metro Shore City,1,3,7375.23,02:02:55
Wed_00009,Four Square Pakuranga Heights,1,3,7522.04,02:05:22
Wed_00010,Four Square Fair Price Henderson,1,4,7573.13,02:06:13
Wed_00011,Four Square Cockle Bay,1,2,7665.24,02:07:45
Wed_00012,Four Square Remuera,1,4,7728.82,02:08:48
Wed_00013,Four Square St Heliers,1,3,8037.79,02:13:57
Wed_00014,Four Square Botany Junction,1,4,8360.98,02:19:20
Wed_00015,Four Square Lancaster,1,4,9165.84,02:32:45
Wed_00016,New World Victoria Park,1,6,9271.39,02:34:31
Wed_00017,New World Point Chevalier,1,7,9644.17,02:40:44
Wed_00018,New World Mt Albert,1,8,10093.78,02:48:13
Wed_00019,New World Mt Roskill,1,9,10112.66,02:48:32
Wed_00020,New World New Lynn,1,8,10301.69,02:51:41
Wed_00021,New World Green Bay,1,8,10365.54,02:52:45
Wed_00022,Four Square Britomart;New World Metro Queen St,2,7,10549.9,02:55:49
Wed_00023,Four Square Torbay,1,4,10576.52,02:56:16
Wed_00024,New World Metro Queen St;Four Square Britomart,2,7,10579.84,02:56:19
Wed_00025,New World Birkenhead,1,6,10705.77,02:58:25
Wed_00026,New World Hobsonville,1,7,11249.76,03:07:29
Wed_00027,New World Papakura,1,6,11317.54,03:08:37
Wed_00028,Four Square Remuera;Four Square Ellerslie,2,7,11335.64,03:08:55
Wed_00029,New World Southmall,1,7,11353.98,03:09:13
Wed_00030,New World Newmarket,1,8,11374.83,03:09:34
Wed_00031,Four Square Pakuranga Heights;New World Metro Queen St,2,6,11412.34,03:10:12
Wed_00032,New World Metro Queen St;Four Square Remuera,2,7,11632.26,03:13:52
Wed_00033,Four Square Ellerslie;Four Square Cockle Bay,2,5,11713.44,03:15:13
Wed_00034,New World Eastridge,1,7,11715.46,03:15:15
Wed_00035,New World Remuera,1,8,11870.35,03:17:50
Wed_00036,Four Square Eden Terrace;Four Square Britomart,2,8,11881.64,03:18:01
Wed_00037,New World Ormiston,1,7,11896.64,03:18:16
Wed_00038,Four Square Pakuranga Heights;Four Square Eden Terrace,2,7,12059.3,03:20:59
Wed_00039,Four Square Remuera;Four Square St Heliers,2,7,12393.06,03:26:33
Wed_00040,Four Square Britomart;Four Square St Heliers,2,7,12520.89,03:28:40
Wed_00041,Pak 'n Save Lincoln Road,1,9,12561.89,03:29:21
Wed_00042,New World Stonefields,1,8,12571.35,03:29:31
Wed_00043,New World Papatoetoe,1,9,12765.88,03:32:45
Wed_00044,Four Square Britomart;Four Square Remuera,2,8,12783.28,03:33:03
Wed_00045,Four Square Pakuranga Heights;New World Metro Shore City,2,6,12800.9,03:33:20
Wed_00046,New World Victoria Park;New World Metro Queen St,2,9,12847.22,03:34:07
Wed_00047,New World Metro Queen St;New World Victoria Park,2,9,12867.26,03:34:27
Wed_00048,New World Milford,1,8,13167.21,03:39:27
Wed_00049,New World Browns Bay,1,7,13292.45,03:41:32
Wed_00050,New World Botany,1,8,13431.66,03:43:51
Wed_00051,Pak 'n Save Royal Oak,1,11,13493.54,03:44:53
Wed_00052,New World Howick,1,8,13789.9,03:49:49
Wed_00053,New World Victoria Park;Four Square Britomart,2,10,14030.73,03:53:50
Wed_00054,Pak 'n Save Westgate,1,10,14039.0,03:53:59
Wed_00055,Four Square Lancaster;Four Square Onehunga,2,8,14094.3,03:54:54
Wed_00056,New World Point Chevalier;New World Metro Queen St,2,10,14130.12,03:55:30
Wed_00057,Pak 'n Save Mt Albert,1,12,14259.27,03:57:39
Wed_00058,New World Metro Queen St;New World Birkenhead,2,9,14485.3,04:01:25
Wed_00059,New World Hobsonville;Four Square Hobsonville,2,10,14572.02,04:02:52
Wed_00060,Four Square Hobsonville;New World Hobsonville,2,10,14586.28,04:03:06
Wed_00061,Four Square Glen Eden;New World Green Bay,2,11,14606.09,04:03:26
Wed_00062,New World New Lynn;Four Square Glen Eden,2,11,14640.56,04:04:00
Wed_00063,Four Square Eden Terrace;New World Point Chevalier,2,11,14643.44,04:04:03
Wed_00064,New World Green Bay;Four Square Glen Eden,2,11,14644.07,04:04:04
Wed_00065,New World Long Bay,1,8,14796.92,04:06:36
Wed_00066,New World Point Chevalier;Four Square Onehunga,2,11,14921.82,04:08:41
Wed_00067,New World Mt Albert;New World Metro Queen St,2,11,14957.59,04:09:17
Wed_00068,New World Metro Queen St;Four Square Britomart;Four Square Ellerslie,3,10,15030.28,04:10:30
Wed_00069,New World Albany,1,9,15076.37,04:11:16
Wed_00070,Four Square Onehunga;Four Square Ellerslie;Four Square Remuera,3,11,15180.65,04:13:00
Wed_00071,Four Square Eden Terrace;Four Square Britomart;New World Metro Queen St,3,11,15187.11,04:13:07
Wed_00072,New World Devonport,1,9,15228.05,04:13:48
Wed_00073,Pak 'n Save Manukau,1,11,15236.7,04:13:56
Wed_00074,New World Mt Albert;Four Square Glen Eden,2,11,15258.27,04:14:18
Wed_00075,Pak 'n Save Mangere,1,12,15279.57,04:14:39
Wed_00076,New World Point Chevalier;Four Square Britomart,2,11,15281.17,04:14:41
