Supermarket,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type,Total
Four Square Botany Junction,4,5,5,3,4,1,0,Four Square,22
Four Square Britomart,3,4,4,4,4,0,0,Four Square,19
Four Square Cockle Bay,3,5,2,3,4,0,0,Four Square,17
Four Square Eden Terrace,4,3,4,4,4,1,0,Four Square,20
Four Square Ellerslie,3,4,4,4,2,1,0,Four Square,18
Four Square Fair Price Henderson,4,5,4,3,3,1,0,Four Square,20
Four Square Glen Eden,3,4,4,5,4,2,0,Four Square,22
Four Square Hobsonville,4,4,4,4,3,1,0,Four Square,20
Four Square Lancaster,3,3,4,4,4,1,0,Four Square,19
Four Square Onehunga,3,4,4,3,4,1,0,Four Square,19
Four Square Pakuranga Heights,2,4,3,3,4,2,0,Four Square,18
Four Square Remuera,3,5,4,4,4,1,0,Four Square,21
Four Square St Heliers,4,4,3,4,4,1,0,Four Square,20
Four Square Torbay,4,4,4,4,4,1,0,Four Square,21
New World Albany,10,7,9,9,9,3,0,New World,47
New World Birkenhead,8,9,6,9,10,3,0,New World,45
New World Botany,9,9,9,9,8,3,0,New World,47
New World Browns Bay,9,7,8,9,8,3,0,New World,44
New World Devonport,7,8,10,10,8,3,0,New World,46
New World Eastridge,9,7,7,9,8,3,0,New World,43
New World Green Bay,7,8,8,8,10,3,0,New World,44
New World Hobsonville,9,8,8,8,9,3,0,New World,45
New World Howick,8,9,9,8,8,3,0,New World,45
New World Long Bay,8,8,8,8,8,3,0,New World,43
New World Metro Queen St,4,4,4,4,4,2,0,New World Metro,22
New World Metro Shore City,3,4,3,4,3,1,0,New World Metro,18
New World Milford,7,10,9,8,9,3,0,New World,46
New World Mt Albert,8,9,8,10,7,3,0,New World,45
New World Mt Roskill,8,8,9,9,9,2,0,New World,45
New World New Lynn,7,7,8,8,9,3,0,New World,42
New World Newmarket,8,7,9,8,9,3,0,New World,44
New World Ormiston,8,6,8,9,9,3,0,New World,43
New World Papakura,10,8,7,8,8,3,0,New World,44
New World Papatoetoe,9,8,10,8,8,3,0,New World,46
New World Point Chevalier,8,7,7,7,7,3,0,New World,39
New World Remuera,10,8,8,8,9,2,0,New World,45
New World Southmall,8,7,8,7,7,3,0,New World,40
New World Stonefields,8,7,9,8,9,3,0,New World,44
New World Victoria Park,10,9,6,9,8,3,0,New World,45
Pak 'n Save Albany,10,12,14,13,11,6,0,Pak 'n Save,66
Pak 'n Save Botany,12,12,12,10,10,7,0,Pak 'n Save,63
Pak 'n Save Clendon,13,11,11,11,12,6,0,Pak 'n Save,64
Pak 'n Save Glen Innes,11,11,14,11,11,7,0,Pak 'n Save,65
Pak 'n Save Henderson,13,11,12,11,11,7,0,Pak 'n Save,65
Pak 'n Save Highland Park,13,11,11,10,9,5,0,Pak 'n Save,59
Pak 'n Save Lincoln Road,9,11,9,14,11,7,0,Pak 'n Save,61
Pak 'n Save Mangere,11,11,13,11,10,6,0,Pak 'n Save,62
Pak 'n Save Manukau,10,12,12,10,11,6,0,Pak 'n Save,61
Pak 'n Save Mt Albert,10,10,12,10,13,6,0,Pak 'n Save,61
Pak 'n Save Ormiston,12,11,12,11,10,6,0,Pak 'n Save,62
Pak 'n Save Papakura,10,12,12,11,11,6,0,Pak 'n Save,62
Pak 'n Save Royal Oak,11,13,11,11,13,7,0,Pak 'n Save,66
Pak 'n Save Sylvia Park,12,11,12,11,11,7,0,Pak 'n Save,64
Pak 'n Save Wairau Road,9,10,11,11,11,5,0,Pak 'n Save,57
Pak 'n Save Westgate,11,12,11,13,13,6,0,Pak 'n Save,66
