Supermarket,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Four Square Botany Junction,3.0,4.0,4.0,2.0,4.0,1.0,
Four Square Britomart,2.0,3.0,3.0,3.0,3.0,0.0,
Four Square Cockle Bay,2.0,4.0,2.0,3.0,4.0,0.0,
Four Square Eden Terrace,3.0,3.0,3.0,4.0,3.0,1.0,
Four Square Ellerslie,2.0,4.0,3.0,3.0,2.0,1.0,
Four Square Fair Price Henderson,3.0,4.0,3.0,3.0,2.0,1.0,
Four Square Glen Eden,3.0,3.0,3.0,5.0,3.0,1.0,
Four Square Hobsonville,4.0,3.0,3.0,3.0,2.0,1.0,
Four Square Lancaster,2.0,3.0,3.0,4.0,4.0,1.0,
Four Square Onehunga,3.0,3.0,3.0,2.0,4.0,1.0,
Four Square Pakuranga Heights,2.0,3.0,3.0,2.0,4.0,2.0,
Four Square Remuera,2.0,4.0,4.0,4.0,4.0,1.0,
Four Square St Heliers,3.0,3.0,2.0,4.0,3.0,2.0,
Four Square Torbay,4.0,4.0,4.0,3.0,4.0,1.0,
New World Albany,9.0,7.0,9.0,8.0,7.0,3.0,
New World Birkenhead,8.0,8.0,6.0,9.0,9.0,3.0,
New World Botany,9.0,7.0,8.0,9.0,7.0,3.0,
New World Browns Bay,8.0,6.0,7.0,8.0,7.0,2.0,
New World Devonport,7.0,8.0,9.0,9.0,7.0,3.0,
New World Eastridge,8.0,6.0,6.0,8.0,7.0,3.0,
New World Green Bay,6.0,6.0,8.0,8.0,9.0,3.0,
New World Hobsonville,8.0,7.0,7.0,8.0,8.0,3.0,
New World Howick,7.0,8.0,8.0,8.0,8.0,3.0,
New World Long Bay,8.0,7.0,8.0,7.0,7.0,3.0,
New World Metro Queen St,4.0,3.0,3.0,3.0,3.0,1.0,
New World Metro Shore City,2.0,3.0,2.0,3.0,2.0,0.0,
New World Milford,7.0,9.0,8.0,7.0,9.0,2.0,
New World Mt Albert,8.0,8.0,8.0,10.0,6.0,3.0,
New World Mt Roskill,7.0,7.0,9.0,8.0,8.0,2.0,
New World New Lynn,6.0,6.0,8.0,8.0,8.0,3.0,
New World Newmarket,8.0,6.0,8.0,7.0,8.0,2.0,
New World Ormiston,8.0,6.0,7.0,8.0,8.0,2.0,
New World Papakura,9.0,8.0,6.0,7.0,8.0,3.0,
New World Papatoetoe,8.0,8.0,8.0,7.0,7.0,3.0,
New World Point Chevalier,8.0,6.0,7.0,7.0,6.0,3.0,
New World Remuera,9.0,8.0,8.0,7.0,8.0,2.0,
New World Southmall,8.0,6.0,7.0,7.0,6.0,2.0,
New World Stonefields,8.0,6.0,9.0,8.0,7.0,3.0,
New World Victoria Park,9.0,8.0,6.0,9.0,7.0,3.0,
Pak 'n Save Albany,9.0,11.0,13.0,11.0,10.0,5.0,
Pak 'n Save Botany,11.0,11.0,11.0,8.0,10.0,6.0,
Pak 'n Save Clendon,12.0,10.0,10.0,11.0,10.0,6.0,
Pak 'n Save Glen Innes,10.0,11.0,13.0,10.0,10.0,6.0,
Pak 'n Save Henderson,12.0,10.0,11.0,10.0,10.0,7.0,
Pak 'n Save Highland Park,12.0,10.0,10.0,10.0,8.0,5.0,
Pak 'n Save Lincoln Road,9.0,11.0,8.0,13.0,11.0,7.0,
Pak 'n Save Mangere,11.0,10.0,11.0,10.0,9.0,6.0,
Pak 'n Save Manukau,9.0,10.0,11.0,8.0,10.0,5.0,
Pak 'n Save Mt Albert,9.0,9.0,11.0,9.0,11.0,5.0,
Pak 'n Save Ormiston,11.0,11.0,11.0,9.0,9.0,6.0,
Pak 'n Save Papakura,9.0,10.0,11.0,11.0,10.0,5.0,
Pak 'n Save Royal Oak,10.0,12.0,10.0,10.0,12.0,6.0,
Pak 'n Save Sylvia Park,12.0,11.0,12.0,11.0,11.0,6.0,
Pak 'n Save Wairau Road,8.0,10.0,11.0,10.0,10.0,5.0,
Pak 'n Save Westgate,10.0,11.0,10.0,13.0,13.0,5.0,
