Supermarket,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type,Total
Four Square Botany Junction,4,5,5,3,5,1,0,Four Square,23
Four Square Britomart,3,4,4,4,4,0,0,Four Square,19
Four Square Cockle Bay,3,5,3,4,5,0,0,Four Square,20
Four Square Eden Terrace,4,4,4,5,4,1,0,Four Square,22
Four Square Ellerslie,4,5,4,4,3,1,0,Four Square,21
Four Square Fair Price Henderson,4,5,4,4,4,1,0,Four Square,22
Four Square Glen Eden,4,4,4,5,4,2,0,Four Square,23
Four Square Hobsonville,4,4,4,5,4,2,0,Four Square,23
Four Square Lancaster,4,4,4,4,4,2,0,Four Square,22
Four Square Onehunga,4,4,4,3,4,2,0,Four Square,21
Four Square Pakuranga Heights,2,4,4,3,5,2,0,Four Square,20
Four Square Remuera,4,5,4,4,4,2,0,Four Square,23
Four Square St Heliers,4,4,3,5,4,1,0,Four Square,21
Four Square Torbay,5,5,4,4,4,1,0,Four Square,23
New World Albany,11,7,10,9,9,3,0,New World,49
New World Birkenhead,9,9,6,10,10,3,0,New World,47
New World Botany,10,9,9,9,8,3,0,New World,48
New World Browns Bay,10,7,8,9,8,3,0,New World,45
New World Devonport,8,8,10,10,8,3,0,New World,47
New World Eastridge,9,7,7,10,8,3,0,New World,44
New World Green Bay,7,8,9,9,10,3,0,New World,46
New World Hobsonville,10,8,8,8,9,3,0,New World,46
New World Howick,9,10,9,8,9,3,0,New World,48
New World Long Bay,9,9,9,9,8,4,0,New World,48
New World Metro Queen St,5,4,4,4,4,2,0,New World Metro,23
New World Metro Shore City,3,5,4,4,4,1,0,New World Metro,21
New World Milford,8,10,9,8,9,3,0,New World,47
New World Mt Albert,9,9,8,10,7,4,0,New World,47
New World Mt Roskill,8,8,9,9,9,3,0,New World,46
New World New Lynn,7,7,8,8,9,3,0,New World,42
New World Newmarket,9,7,9,8,9,3,0,New World,45
New World Ormiston,9,6,8,9,9,3,0,New World,44
New World Papakura,10,8,7,8,8,3,0,New World,44
New World Papatoetoe,9,8,10,8,8,3,0,New World,46
New World Point Chevalier,9,7,8,8,7,4,0,New World,43
New World Remuera,11,8,8,9,9,3,0,New World,48
New World Southmall,9,8,8,8,7,3,0,New World,43
New World Stonefields,9,7,9,9,9,3,0,New World,46
New World Victoria Park,11,9,7,9,8,4,0,New World,48
Pak 'n Save Albany,10,12,15,14,11,6,0,Pak 'n Save,68
Pak 'n Save Botany,13,13,13,10,11,7,0,Pak 'n Save,67
Pak 'n Save Clendon,14,12,12,11,13,6,0,Pak 'n Save,68
Pak 'n Save Glen Innes,12,12,14,11,12,7,0,Pak 'n Save,68
Pak 'n Save Henderson,14,12,13,11,12,8,0,Pak 'n Save,70
Pak 'n Save Highland Park,14,11,11,10,10,6,0,Pak 'n Save,62
Pak 'n Save Lincoln Road,10,11,10,14,12,7,0,Pak 'n Save,64
Pak 'n Save Mangere,13,12,13,12,11,7,0,Pak 'n Save,68
Pak 'n Save Manukau,11,12,12,10,12,6,0,Pak 'n Save,63
Pak 'n Save Mt Albert,11,11,13,11,13,6,0,Pak 'n Save,65
Pak 'n Save Ormiston,14,12,13,11,10,7,0,Pak 'n Save,67
Pak 'n Save Papakura,10,13,13,11,11,7,0,Pak 'n Save,65
Pak 'n Save Royal Oak,12,14,12,12,14,7,0,Pak 'n Save,71
Pak 'n Save Sylvia Park,13,12,13,12,12,7,0,Pak 'n Save,69
Pak 'n Save Wairau Road,10,11,12,12,11,5,0,Pak 'n Save,61
Pak 'n Save Westgate,12,12,11,14,14,6,0,Pak 'n Save,69
