Supermarket,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Four Square Botany Junction,4,5,5,3,4,1,0
Four Square Britomart,3,4,4,4,4,0,0
Four Square Cockle Bay,3,5,3,4,4,0,0
Four Square Eden Terrace,4,4,4,4,4,1,0
Four Square Ellerslie,4,5,4,4,2,1,0
Four Square Fair Price Henderson,4,5,4,4,3,1,0
Four Square Glen Eden,4,4,4,5,4,2,0
Four Square Hobsonville,4,4,4,4,3,1,0
Four Square Lancaster,4,4,4,4,4,1,0
Four Square Onehunga,3,4,4,3,4,1,0
Four Square Pakuranga Heights,2,4,3,3,4,2,0
Four Square Remuera,4,5,4,4,4,1,0
Four Square St Heliers,4,4,3,4,4,1,0
Four Square Torbay,5,5,4,4,4,1,0
New World Albany,10,7,9,9,9,3,0
New World Birkenhead,8,9,6,9,10,3,0
New World Botany,9,9,9,9,8,3,0
New World Browns Bay,10,7,8,9,8,3,0
New World Devonport,7,8,10,10,8,3,0
New World Eastridge,9,7,7,9,8,3,0
New World Green Bay,6,8,8,8,10,3,0
New World Hobsonville,9,8,8,8,9,3,0
New World Howick,8,9,9,8,8,3,0
New World Long Bay,8,8,8,8,8,3,0
New World Metro Queen St,4,4,4,4,4,2,0
New World Metro Shore City,3,4,3,4,3,1,0
New World Milford,7,10,9,8,9,3,0
New World Mt Albert,9,9,8,10,7,3,0
New World Mt Roskill,8,8,9,9,9,2,0
New World New Lynn,7,7,8,8,9,3,0
New World Newmarket,9,7,9,8,9,3,0
New World Ormiston,8,6,8,9,9,3,0
New World Papakura,9,8,7,8,8,3,0
New World Papatoetoe,9,8,10,8,8,3,0
New World Point Chevalier,8,7,7,8,7,3,0
New World Remuera,10,8,8,8,9,3,0
New World Southmall,9,7,8,7,7,3,0
New World Stonefields,8,7,9,9,9,3,0
New World Victoria Park,10,9,7,9,8,3,0
Pak 'n Save Albany,10,12,15,13,11,6,0
Pak 'n Save Botany,12,12,13,10,10,7,0
Pak 'n Save Clendon,13,11,11,11,12,6,0
Pak 'n Save Glen Innes,11,12,14,11,12,7,0
Pak 'n Save Henderson,13,11,13,11,11,8,0
Pak 'n Save Highland Park,12,11,11,10,10,6,0
Pak 'n Save Lincoln Road,10,11,10,14,12,7,0
Pak 'n Save Mangere,12,12,13,11,11,7,0
Pak 'n Save Manukau,11,12,12,10,11,6,0
Pak 'n Save Mt Albert,10,10,13,10,13,6,0
Pak 'n Save Ormiston,13,11,13,11,10,6,0
Pak 'n Save Papakura,10,13,12,11,11,6,0
Pak 'n Save Royal Oak,12,13,12,11,13,7,0
Pak 'n Save Sylvia Park,12,12,13,11,11,7,0
Pak 'n Save Wairau Road,9,11,11,11,11,5,0
Pak 'n Save Westgate,11,12,11,13,14,6,0
