RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops,Mode
Fri_00014,Friday,New World Mt Albert,7,24.2,126,150.2,550.84,0.0,0.0,550.84,1,Owned
Fri_00015,Friday,New World Mt Roskill,8,6.5,144,150.5,552.0,0.0,0.0,552.0,1,Owned
Fri_00022,Friday,New World New Lynn,8,27.7,144,171.7,629.55,0.0,0.0,629.55,1,Owned
Fri_00027,Friday,New World Papatoetoe,7,50.8,126,176.8,648.14,0.0,0.0,648.14,1,Owned
Fri_00038,Friday,New World Victoria Park,8,46.5,144,190.5,698.58,0.0,0.0,698.58,1,Owned
Fri_00039,Friday,New World Green Bay,9,28.8,162,190.8,699.45,0.0,0.0,699.45,1,Owned
Fri_00042,Friday,"Four Square Britomart,New World Metro Queen St",8,49.8,144,193.8,710.72,0.0,0.0,710.72,2,Owned
Fri_00070,Friday,New World Newmarket,9,45.6,162,207.6,761.13,0.0,0.0,761.13,1,Owned
Fri_00081,Friday,New World Ormiston,8,72.3,144,216.3,770.0,6.3,32.43,802.43,1,Owned
Fri_00082,Friday,New World Devonport,7,91.8,126,217.8,770.0,7.8,40.3,810.3,1,Owned
Fri_00084,Friday,Pak 'n Save Mangere,10,38.7,180,218.7,770.0,8.7,44.74,814.74,1,Owned
Fri_00098,Friday,"Four Square Eden Terrace,New World Point Chevalier",10,46.1,180,226.1,770.0,16.1,82.96,852.96,2,Owned
Fri_00117,Friday,New World Albany,8,89.3,144,233.3,770.0,23.3,120.24,890.24,1,Owned
Fri_00130,Friday,Pak 'n Save Ormiston,9,73.6,162,235.6,770.0,25.6,132.37,902.37,1,Owned
Fri_00142,Friday,Pak 'n Save Mt Albert,12,21.7,216,237.7,770.0,27.7,142.88,912.88,1,Owned
Fri_00150,Friday,New World Browns Bay,8,95.5,144,239.5,770.0,29.5,152.63,922.63,1,Owned
Fri_00152,Friday,Pak 'n Save Highland Park,9,79.3,162,241.3,770.0,31.3,161.75,931.75,1,Owned
Fri_00156,Friday,Pak 'n Save Royal Oak,12,26.9,216,242.9,770.0,32.9,169.94,939.94,1,Owned
Fri_00166,Friday,Pak 'n Save Lincoln Road,11,47.4,198,245.4,770.0,35.4,182.72,952.72,1,Owned
Fri_00171,Friday,"Four Square Ellerslie,New World Stonefields",10,67.0,180,247.0,770.0,37.0,191.07,961.07,2,Owned
Fri_00185,Friday,Pak 'n Save Wairau Road,10,71.3,180,251.3,770.0,41.3,213.64,983.64,1,Owned
Fri_00197,Friday,Pak 'n Save Manukau,11,55.9,198,253.9,770.0,43.9,227.05,997.05,1,Owned
Fri_00208,Friday,Pak 'n Save Papakura,10,77.9,180,257.9,770.0,47.9,247.28,1017.28,1,Owned
Fri_00220,Friday,"New World Hobsonville,Four Square Hobsonville",11,62.9,198,260.9,770.0,50.9,262.81,1032.81,2,Owned
Fri_00223,Friday,Pak 'n Save Clendon,11,63.5,198,261.5,770.0,51.5,265.85,1035.85,1,Owned
Fri_00232,Friday,Pak 'n Save Sylvia Park,11,65.5,198,263.5,770.0,53.5,276.38,1046.38,1,Owned
Fri_00241,Friday,"Four Square Onehunga,New World Remuera",12,51.3,216,267.3,770.0,57.3,296.27,1066.27,2,Owned
Fri_00243,Friday,Pak 'n Save Albany,10,87.7,180,267.7,770.0,57.7,297.94,1067.94,1,Owned
Fri_00260,Friday,"Four Square Remuera,New World Eastridge",11,72.1,198,270.1,770.0,60.1,310.47,1080.47,2,Owned
Fri_00378,Friday,Pak 'n Save Westgate,13,54.0,234,288.0,770.0,78.0,402.91,1172.91,1,Owned
Fri_00429,Friday,"New World Metro Shore City,New World Milford",12,78.5,216,294.5,770.0,84.5,436.5,1206.5,2,Owned
Fri_00447,Friday,"New World Botany,Four Square Botany Junction",12,80.4,216,296.4,770.0,86.4,446.31,1216.31,2,Owned
Fri_00526,Friday,"New World Long Bay,Four Square Torbay",11,107.0,198,305.0,770.0,95.0,490.95,1260.95,2,Owned
Fri_00564,Friday,"Four Square Cockle Bay,New World Howick",12,92.6,216,308.6,770.0,98.6,509.18,1279.18,2,Owned
Fri_00694,Friday,"New World Birkenhead,Four Square Lancaster",13,82.8,234,316.8,770.0,106.8,551.55,1321.55,2,Owned
Fri_00955,Friday,"Four Square Pakuranga Heights,Pak 'n Save Botany",14,80.9,252,332.9,770.0,122.9,635.14,1405.14,2,Owned
Fri_01422,Friday,"Pak 'n Save Glen Innes,Four Square St Heliers",15,86.0,270,356.0,770.0,146.0,754.09,1524.09,2,Owned
Fri_01431,Friday,"Four Square Fair Price Henderson,Pak 'n Save Henderson,Four Square Glen Eden",16,68.2,288,356.2,770.0,146.2,755.4,1525.4,3,Owned
Fri_01434,Friday,"New World Papakura,New World Southmall",15,86.3,270,356.3,770.0,146.3,755.75,1525.75,2,Owned
