RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops,Mode
Sat_00231,Saturday,"New World New Lynn,New World Green Bay",6,36.0,108,144.0,527.82,0.0,0.0,527.82,2,Owned
Sat_01089,Saturday,"Pak 'n Save Mt Albert,New World Point Chevalier",8,34.4,144,178.4,654.03,0.0,0.0,654.03,2,Owned
Sat_01357,Saturday,"New World Mt Roskill,Pak 'n Save Mangere",8,39.4,144,183.4,672.28,0.0,0.0,672.28,2,Owned
Sat_02591,Saturday,"Pak 'n Save Lincoln Road,Four Square Fair Price Henderson",8,54.8,144,198.8,728.84,0.0,0.0,728.84,2,Owned
Sat_03445,Saturday,"Four Square Glen Eden,Pak 'n Save Henderson",8,61.8,144,205.8,754.66,0.0,0.0,754.66,2,Owned
Sat_03700,Saturday,"Pak 'n Save Sylvia Park,Four Square Ellerslie,Four Square Onehunga",8,63.7,144,207.7,761.58,0.0,0.0,761.58,3,Owned
Sat_03846,Saturday,"Pak 'n Save Royal Oak,New World Newmarket",9,46.7,162,208.7,765.21,0.0,0.0,765.21,2,Owned
Sat_05466,Saturday,"New World Long Bay,Four Square Torbay,New World Browns Bay",6,109.6,108,217.6,770.0,7.6,39.45,809.45,3,Owned
Sat_05756,Saturday,"New World Mt Albert,New World Victoria Park,New World Metro Queen St,Four Square Eden Terrace",9,57.1,162,219.1,770.0,9.1,47.18,817.18,4,Owned
Sat_06351,Saturday,"Pak 'n Save Manukau,New World Papatoetoe",9,59.8,162,221.8,770.0,11.8,60.97,830.97,2,Owned
Sat_08492,Saturday,"Pak 'n Save Westgate,New World Hobsonville,Four Square Hobsonville",9,67.7,162,229.7,770.0,19.7,101.87,871.87,3,Owned
Sat_08776,Saturday,"Pak 'n Save Highland Park,New World Howick",8,86.7,144,230.7,770.0,20.7,107.18,877.18,2,Owned
Sat_08835,Saturday,"New World Devonport,New World Metro Shore City,New World Milford",7,104.9,126,230.9,770.0,20.9,108.17,878.17,3,Owned
Sat_09490,Saturday,"New World Southmall,Pak 'n Save Clendon",9,71.2,162,233.2,770.0,23.2,119.64,889.64,2,Owned
Sat_13933,Saturday,"Pak 'n Save Botany,New World Botany",9,82.9,162,244.9,770.0,34.9,180.06,950.06,2,Owned
Sat_14080,Saturday,"New World Remuera,Four Square Remuera,New World Stonefields,New World Eastridge",9,83.2,162,245.2,770.0,35.2,181.7,951.7,4,Owned
Sat_14208,Saturday,"New World Papakura,Pak 'n Save Papakura",9,83.4,162,245.4,770.0,35.4,183.01,953.01,2,Owned
Sat_16836,Saturday,"New World Birkenhead,Four Square Lancaster,Pak 'n Save Wairau Road",9,89.0,162,251.0,770.0,41.0,211.77,981.77,3,Owned
Sat_17682,Saturday,"New World Albany,Pak 'n Save Albany",9,90.6,162,252.6,770.0,42.6,220.01,990.01,2,Owned
Sat_19089,Saturday,"New World Ormiston,Pak 'n Save Ormiston,Four Square Botany Junction",10,75.1,180,255.1,770.0,45.1,233.26,1003.26,3,Owned
Sat_19812,Saturday,"Four Square Pakuranga Heights,Pak 'n Save Glen Innes,Four Square St Heliers",9,94.4,162,256.4,770.0,46.4,239.82,1009.82,3,Owned
