RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops,Mode
Fri_00014,Friday,New World Mt Albert,7,24.2,126,150.2,550.84,0.0,0.0,550.84,1,Owned
Fri_00015,Friday,New World Mt Roskill,8,6.5,144,150.5,552.0,0.0,0.0,552.0,1,Owned
Fri_00022,Friday,New World New Lynn,8,27.7,144,171.7,629.55,0.0,0.0,629.55,1,Owned
Fri_00027,Friday,New World Papatoetoe,7,50.8,126,176.8,648.14,0.0,0.0,648.14,1,Owned
Fri_00035,Friday,New World Southmall,7,63.2,126,189.2,693.85,0.0,0.0,693.85,1,Owned
Fri_00038,Friday,New World Victoria Park,8,46.5,144,190.5,698.58,0.0,0.0,698.58,1,Owned
Fri_00039,Friday,New World Green Bay,9,28.8,162,190.8,699.45,0.0,0.0,699.45,1,Owned
Fri_00042,Friday,"Four Square Britomart,New World Metro Queen St",8,49.8,144,193.8,710.72,0.0,0.0,710.72,2,Owned
Fri_00045,Friday,New World Eastridge,7,69.3,126,195.3,715.94,0.0,0.0,715.94,1,Owned
Fri_00050,Friday,New World Remuera,8,53.8,144,197.8,725.41,0.0,0.0,725.41,1,Owned
Fri_00070,Friday,New World Newmarket,9,45.6,162,207.6,761.13,0.0,0.0,761.13,1,Owned
Fri_00072,Friday,New World Stonefields,8,65.5,144,209.5,768.25,0.0,0.0,768.25,1,Owned
Fri_00084,Friday,Pak 'n Save Mangere,10,38.7,180,218.7,770.0,8.7,44.74,814.74,1,Owned
Fri_00098,Friday,"Four Square Eden Terrace,New World Point Chevalier",10,46.1,180,226.1,770.0,16.1,82.96,852.96,2,Owned
Fri_00125,Friday,"Four Square Onehunga,Four Square Ellerslie,Four Square Remuera",10,55.0,180,235.0,770.0,25.0,129.22,899.22,3,Owned
Fri_00142,Friday,Pak 'n Save Mt Albert,12,21.7,216,237.7,770.0,27.7,142.88,912.88,1,Owned
Fri_00156,Friday,Pak 'n Save Royal Oak,12,26.9,216,242.9,770.0,32.9,169.94,939.94,1,Owned
Fri_00166,Friday,Pak 'n Save Lincoln Road,11,47.4,198,245.4,770.0,35.4,182.72,952.72,1,Owned
Fri_00197,Friday,Pak 'n Save Manukau,11,55.9,198,253.9,770.0,43.9,227.05,997.05,1,Owned
Fri_00208,Friday,Pak 'n Save Papakura,10,77.9,180,257.9,770.0,47.9,247.28,1017.28,1,Owned
Fri_00220,Friday,"New World Hobsonville,Four Square Hobsonville",11,62.9,198,260.9,770.0,50.9,262.81,1032.81,2,Owned
Fri_00223,Friday,Pak 'n Save Clendon,11,63.5,198,261.5,770.0,51.5,265.85,1035.85,1,Owned
Fri_00232,Friday,Pak 'n Save Sylvia Park,11,65.5,198,263.5,770.0,53.5,276.38,1046.38,1,Owned
Fri_00243,Friday,Pak 'n Save Albany,10,87.7,180,267.7,770.0,57.7,297.94,1067.94,1,Owned
Fri_00291,Friday,"New World Devonport,New World Metro Shore City",10,95.4,180,275.4,770.0,65.4,337.76,1107.76,2,Owned
Fri_00378,Friday,Pak 'n Save Westgate,13,54.0,234,288.0,770.0,78.0,402.91,1172.91,1,Owned
Fri_00526,Friday,"New World Long Bay,Four Square Torbay",11,107.0,198,305.0,770.0,95.0,490.95,1260.95,2,Owned
Fri_00558,Friday,"Pak 'n Save Ormiston,Four Square Botany Junction",13,74.1,234,308.1,770.0,98.1,507.07,1277.07,2,Owned
Fri_00688,Friday,"Pak 'n Save Highland Park,Four Square Pakuranga Heights",13,82.2,234,316.2,770.0,106.2,548.61,1318.61,2,Owned
Fri_01049,Friday,"Four Square Lancaster,Pak 'n Save Wairau Road",14,87.0,252,339.0,770.0,129.0,666.49,1436.49,2,Owned
Fri_01120,Friday,"Four Square Cockle Bay,Pak 'n Save Botany",14,91.3,252,343.3,770.0,133.3,688.6,1458.6,2,Owned
Fri_01422,Friday,"Pak 'n Save Glen Innes,Four Square St Heliers",15,86.0,270,356.0,770.0,146.0,754.09,1524.09,2,Owned
Fri_01431,Friday,"Four Square Fair Price Henderson,Pak 'n Save Henderson,Four Square Glen Eden",16,68.2,288,356.2,770.0,146.2,755.4,1525.4,3,Owned
