RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops,Mode
Wed_00017,Wednesday,New World Point Chevalier,7,34.7,126,160.7,589.37,0.0,0.0,589.37,1,Owned
Wed_00018,Wednesday,New World Mt Albert,8,24.2,144,168.2,616.84,0.0,0.0,616.84,1,Owned
Wed_00019,Wednesday,New World Mt Roskill,9,6.5,162,168.5,618.0,0.0,0.0,618.0,1,Owned
Wed_00020,Wednesday,New World New Lynn,8,27.7,144,171.7,629.55,0.0,0.0,629.55,1,Owned
Wed_00021,Wednesday,New World Green Bay,8,28.8,144,172.8,633.45,0.0,0.0,633.45,1,Owned
Wed_00041,Wednesday,New World Newmarket,8,45.6,144,189.6,695.13,0.0,0.0,695.13,1,Owned
Wed_00047,Wednesday,"Four Square Glen Eden,Four Square Fair Price Henderson",7,66.4,126,192.4,705.32,0.0,0.0,705.32,2,Owned
Wed_00057,Wednesday,"Four Square Britomart,Four Square Eden Terrace",8,53.6,144,197.6,724.37,0.0,0.0,724.37,2,Owned
Wed_00059,Wednesday,New World Remuera,8,53.8,144,197.8,725.41,0.0,0.0,725.41,1,Owned
Wed_00085,Wednesday,Pak 'n Save Lincoln Road,9,47.4,162,209.4,767.67,0.0,0.0,767.67,1,Owned
Wed_00087,Wednesday,New World Stonefields,8,65.5,144,209.5,768.25,0.0,0.0,768.25,1,Owned
Wed_00094,Wednesday,New World Papatoetoe,9,50.8,162,212.8,770.0,2.8,14.28,784.28,1,Owned
Wed_00100,Wednesday,"New World Victoria Park,New World Metro Queen St",9,52.1,162,214.1,770.0,4.1,21.29,791.29,2,Owned
Wed_00119,Wednesday,Pak 'n Save Royal Oak,11,26.9,198,224.9,770.0,14.9,76.94,846.94,1,Owned
Wed_00133,Wednesday,Pak 'n Save Westgate,10,54.0,180,234.0,770.0,24.0,123.91,893.91,1,Owned
Wed_00143,Wednesday,Pak 'n Save Mt Albert,12,21.7,216,237.7,770.0,27.7,142.88,912.88,1,Owned
Wed_00151,Wednesday,"New World Hobsonville,Four Square Hobsonville",10,62.9,180,242.9,770.0,32.9,169.81,939.81,2,Owned
Wed_00182,Wednesday,"Four Square Onehunga,Four Square Ellerslie,Four Square Remuera",11,55.0,198,253.0,770.0,43.0,222.22,992.22,3,Owned
Wed_00188,Wednesday,Pak 'n Save Manukau,11,55.9,198,253.9,770.0,43.9,227.05,997.05,1,Owned
Wed_00190,Wednesday,Pak 'n Save Mangere,12,38.7,216,254.7,770.0,44.7,230.74,1000.74,1,Owned
Wed_00229,Wednesday,Pak 'n Save Clendon,11,63.5,198,261.5,770.0,51.5,265.85,1035.85,1,Owned
Wed_00240,Wednesday,"New World Eastridge,Four Square St Heliers",10,82.7,180,262.7,770.0,52.7,272.24,1042.24,2,Owned
Wed_00242,Wednesday,"New World Birkenhead,Four Square Lancaster",10,82.8,180,262.8,770.0,52.8,272.55,1042.55,2,Owned
Wed_00292,Wednesday,Pak 'n Save Wairau Road,11,71.3,198,269.3,770.0,59.3,306.64,1076.64,1,Owned
Wed_00305,Wednesday,"New World Ormiston,Four Square Botany Junction",11,72.8,198,270.8,770.0,60.8,314.13,1084.13,2,Owned
Wed_00312,Wednesday,Pak 'n Save Henderson,12,55.9,216,271.9,770.0,61.9,319.57,1089.57,1,Owned
Wed_00353,Wednesday,"New World Metro Shore City,New World Milford",11,78.5,198,276.5,770.0,66.5,343.5,1113.5,2,Owned
Wed_00412,Wednesday,Pak 'n Save Sylvia Park,12,65.5,216,281.5,770.0,71.5,369.38,1139.38,1,Owned
Wed_00486,Wednesday,Pak 'n Save Ormiston,12,73.6,216,289.6,770.0,79.6,411.37,1181.37,1,Owned
Wed_00539,Wednesday,Pak 'n Save Papakura,12,77.9,216,293.9,770.0,83.9,433.28,1203.28,1,Owned
Wed_00645,Wednesday,"Four Square Torbay,New World Browns Bay",11,106.9,198,304.9,770.0,94.9,490.25,1260.25,2,Owned
Wed_00744,Wednesday,Pak 'n Save Glen Innes,13,80.7,234,314.7,770.0,104.7,541.06,1311.06,1,Owned
Wed_00764,Wednesday,"Pak 'n Save Highland Park,Four Square Pakuranga Heights",13,82.2,234,316.2,770.0,106.2,548.61,1318.61,2,Owned
Wed_00807,Wednesday,"New World Papakura,New World Southmall",13,86.3,234,320.3,770.0,110.3,569.75,1339.75,2,Owned
Wed_01218,Wednesday,Pak 'n Save Albany,14,87.7,252,339.7,770.0,129.7,669.94,1439.94,1,Owned
Wed_01326,Wednesday,"Four Square Cockle Bay,Pak 'n Save Botany",14,91.3,252,343.3,770.0,133.3,688.6,1458.6,2,Owned
