Supermarket,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type,Total
Four Square Botany Junction,4,4,4,3,4,1,0,Four Square,20
Four Square Britomart,3,4,3,4,3,1,0,Four Square,18
Four Square Cockle Bay,3,4,2,3,4,0,0,Four Square,16
Four Square Eden Terrace,4,3,3,4,4,1,0,Four Square,19
Four Square Ellerslie,3,4,4,4,3,1,0,Four Square,19
Four Square Fair Price Henderson,3,4,4,4,3,1,0,Four Square,19
Four Square Glen Eden,3,3,4,4,3,1,0,Four Square,18
Four Square Hobsonville,4,4,4,4,3,1,0,Four Square,20
Four Square Lancaster,3,3,4,4,4,1,0,Four Square,19
Four Square Onehunga,3,4,4,2,4,1,0,Four Square,18
Four Square Pakuranga Heights,2,4,3,3,4,1,0,Four Square,17
Four Square Remuera,4,4,4,4,4,1,0,Four Square,21
Four Square St Heliers,3,3,3,4,3,2,0,Four Square,18
Four Square Torbay,4,4,4,3,3,1,0,Four Square,19
New World Albany,9,8,9,9,8,3,0,New World,46
New World Birkenhead,7,8,6,9,9,3,0,New World,42
New World Botany,8,8,9,8,8,3,0,New World,44
New World Browns Bay,9,7,8,8,7,3,0,New World,42
New World Devonport,7,8,9,9,7,3,0,New World,43
New World Eastridge,8,7,7,9,8,3,0,New World,42
New World Green Bay,6,8,8,9,9,3,0,New World,43
New World Hobsonville,8,8,8,8,8,3,0,New World,43
New World Howick,7,8,8,8,8,3,0,New World,42
New World Long Bay,7,8,8,8,7,3,0,New World,41
New World Metro Queen St,3,4,3,4,4,2,0,New World Metro,20
New World Metro Shore City,3,4,3,4,3,1,0,New World Metro,18
New World Milford,7,9,8,8,8,3,0,New World,43
New World Mt Albert,8,8,7,9,7,3,0,New World,42
New World Mt Roskill,7,7,9,8,8,2,0,New World,41
New World New Lynn,6,7,8,8,8,3,0,New World,40
New World Newmarket,7,6,9,7,8,2,0,New World,39
New World Ormiston,8,7,7,8,8,3,0,New World,41
New World Papakura,9,8,7,8,8,3,0,New World,43
New World Papatoetoe,7,8,9,7,8,3,0,New World,42
New World Point Chevalier,7,6,7,7,6,3,0,New World,36
New World Remuera,9,8,8,7,8,3,0,New World,43
New World Southmall,8,7,8,7,7,3,0,New World,40
New World Stonefields,7,7,8,8,8,3,0,New World,41
New World Victoria Park,9,8,7,8,8,3,0,New World,43
Pak 'n Save Albany,9,11,13,11,11,6,0,Pak 'n Save,61
Pak 'n Save Botany,11,11,12,9,10,7,0,Pak 'n Save,60
Pak 'n Save Clendon,11,10,11,10,11,6,0,Pak 'n Save,59
Pak 'n Save Glen Innes,11,10,13,11,12,6,0,Pak 'n Save,63
Pak 'n Save Henderson,11,10,12,10,10,7,0,Pak 'n Save,60
Pak 'n Save Highland Park,13,10,10,9,9,6,0,Pak 'n Save,57
Pak 'n Save Lincoln Road,9,11,10,12,11,6,0,Pak 'n Save,59
Pak 'n Save Mangere,11,10,11,10,10,6,0,Pak 'n Save,58
Pak 'n Save Manukau,10,11,11,10,10,6,0,Pak 'n Save,58
Pak 'n Save Mt Albert,10,9,11,10,11,6,0,Pak 'n Save,57
Pak 'n Save Ormiston,12,11,11,10,10,6,0,Pak 'n Save,60
Pak 'n Save Papakura,9,11,12,11,11,6,0,Pak 'n Save,60
Pak 'n Save Royal Oak,10,12,10,10,11,7,0,Pak 'n Save,60
Pak 'n Save Sylvia Park,11,11,12,11,11,6,0,Pak 'n Save,62
Pak 'n Save Wairau Road,9,10,11,11,11,5,0,Pak 'n Save,57
Pak 'n Save Westgate,10,11,10,12,12,5,0,Pak 'n Save,60
