day,store,times_appearing_in_pool
Monday,Four Square Botany Junction,272
Monday,Four Square Britomart,349
Monday,Four Square Cockle Bay,200
Monday,Four Square Eden Terrace,269
Monday,Four Square Ellerslie,397
Monday,Four Square Fair Price Henderson,267
Monday,Four Square Glen Eden,269
Monday,Four Square Hobsonville,168
Monday,Four Square Lancaster,225
Monday,Four Square Onehunga,429
Monday,Four Square Pakuranga Heights,495
Monday,Four Square Remuera,375
Monday,Four Square St Heliers,176
Monday,Four Square Torbay,150
Monday,New World Albany,50
Monday,New World Birkenhead,96
Monday,New World Botany,76
Monday,New World Browns Bay,66
Monday,New World Devonport,118
Monday,New World Eastridge,78
Monday,New World Green Bay,178
Monday,New World Hobsonville,85
Monday,New World Howick,103
Monday,New World Long Bay,95
Monday,New World Metro Queen St,307
Monday,New World Metro Shore City,465
Monday,New World Milford,94
Monday,New World Mt Albert,138
Monday,New World Mt Roskill,270
Monday,New World New Lynn,164
Monday,New World Newmarket,110
Monday,New World Ormiston,72
Monday,New World Papakura,55
Monday,New World Papatoetoe,92
Monday,New World Point Chevalier,113
Monday,New World Remuera,91
Monday,New World Southmall,95
Monday,New World Stonefields,122
Monday,New World Victoria Park,101
Monday,Pak 'n Save Albany,62
Monday,Pak 'n Save Botany,40
Monday,Pak 'n Save Clendon,20
Monday,Pak 'n Save Glen Innes,49
Monday,Pak 'n Save Henderson,34
Monday,Pak 'n Save Highland Park,29
Monday,Pak 'n Save Lincoln Road,105
Monday,Pak 'n Save Mangere,59
Monday,Pak 'n Save Manukau,78
Monday,Pak 'n Save Mt Albert,111
Monday,Pak 'n Save Ormiston,32
Monday,Pak 'n Save Papakura,54
Monday,Pak 'n Save Royal Oak,94
Monday,Pak 'n Save Sylvia Park,45
Monday,Pak 'n Save Wairau Road,63
Monday,Pak 'n Save Westgate,64
Tuesday,Four Square Botany Junction,167
Tuesday,Four Square Britomart,311
Tuesday,Four Square Cockle Bay,150
Tuesday,Four Square Eden Terrace,375
Tuesday,Four Square Ellerslie,262
Tuesday,Four Square Fair Price Henderson,168
Tuesday,Four Square Glen Eden,159
Tuesday,Four Square Hobsonville,188
Tuesday,Four Square Lancaster,191
Tuesday,Four Square Onehunga,349
Tuesday,Four Square Pakuranga Heights,182
Tuesday,Four Square Remuera,232
Tuesday,Four Square St Heliers,221
Tuesday,Four Square Torbay,146
Tuesday,New World Albany,69
Tuesday,New World Birkenhead,88
Tuesday,New World Botany,79
Tuesday,New World Browns Bay,68
Tuesday,New World Devonport,60
Tuesday,New World Eastridge,139
Tuesday,New World Green Bay,105
Tuesday,New World Hobsonville,82
Tuesday,New World Howick,60
Tuesday,New World Long Bay,61
Tuesday,New World Metro Queen St,281
Tuesday,New World Metro Shore City,155
Tuesday,New World Milford,61
Tuesday,New World Mt Albert,118
Tuesday,New World Mt Roskill,253
Tuesday,New World New Lynn,110
Tuesday,New World Newmarket,175
Tuesday,New World Ormiston,107
Tuesday,New World Papakura,63
Tuesday,New World Papatoetoe,71
Tuesday,New World Point Chevalier,165
Tuesday,New World Remuera,103
Tuesday,New World Southmall,71
Tuesday,New World Stonefields,108
Tuesday,New World Victoria Park,82
Tuesday,Pak 'n Save Albany,25
Tuesday,Pak 'n Save Botany,23
Tuesday,Pak 'n Save Clendon,25
Tuesday,Pak 'n Save Glen Innes,27
Tuesday,Pak 'n Save Henderson,34
Tuesday,Pak 'n Save Highland Park,39
Tuesday,Pak 'n Save Lincoln Road,23
Tuesday,Pak 'n Save Mangere,49
Tuesday,Pak 'n Save Manukau,22
Tuesday,Pak 'n Save Mt Albert,63
Tuesday,Pak 'n Save Ormiston,22
Tuesday,Pak 'n Save Papakura,23
Tuesday,Pak 'n Save Royal Oak,27
Tuesday,Pak 'n Save Sylvia Park,28
Tuesday,Pak 'n Save Wairau Road,43
Tuesday,Pak 'n Save Westgate,28
Wednesday,Four Square Botany Junction,177
Wednesday,Four Square Britomart,237
Wednesday,Four Square Cockle Bay,325
Wednesday,Four Square Eden Terrace,261
Wednesday,Four Square Ellerslie,315
Wednesday,Four Square Fair Price Henderson,167
Wednesday,Four Square Glen Eden,224
Wednesday,Four Square Hobsonville,224
Wednesday,Four Square Lancaster,157
Wednesday,Four Square Onehunga,229
Wednesday,Four Square Pakuranga Heights,236
Wednesday,Four Square Remuera,251
Wednesday,Four Square St Heliers,198
Wednesday,Four Square Torbay,135
Wednesday,New World Albany,60
Wednesday,New World Birkenhead,106
Wednesday,New World Botany,75
Wednesday,New World Browns Bay,70
Wednesday,New World Devonport,53
Wednesday,New World Eastridge,99
Wednesday,New World Green Bay,100
Wednesday,New World Hobsonville,106
Wednesday,New World Howick,85
Wednesday,New World Long Bay,65
Wednesday,New World Metro Queen St,347
Wednesday,New World Metro Shore City,235
Wednesday,New World Milford,71
Wednesday,New World Mt Albert,107
Wednesday,New World Mt Roskill,182
Wednesday,New World New Lynn,109
Wednesday,New World Newmarket,112
Wednesday,New World Ormiston,89
Wednesday,New World Papakura,81
Wednesday,New World Papatoetoe,78
Wednesday,New World Point Chevalier,104
Wednesday,New World Remuera,97
Wednesday,New World Southmall,86
Wednesday,New World Stonefields,94
Wednesday,New World Victoria Park,157
Wednesday,Pak 'n Save Albany,2
Wednesday,Pak 'n Save Botany,23
Wednesday,Pak 'n Save Clendon,23
Wednesday,Pak 'n Save Glen Innes,12
Wednesday,Pak 'n Save Henderson,27
Wednesday,Pak 'n Save Highland Park,52
Wednesday,Pak 'n Save Lincoln Road,63
Wednesday,Pak 'n Save Mangere,25
Wednesday,Pak 'n Save Manukau,34
Wednesday,Pak 'n Save Mt Albert,28
Wednesday,Pak 'n Save Ormiston,19
Wednesday,Pak 'n Save Papakura,23
Wednesday,Pak 'n Save Royal Oak,33
Wednesday,Pak 'n Save Sylvia Park,26
Wednesday,Pak 'n Save Wairau Road,27
Wednesday,Pak 'n Save Westgate,51
Thursday,Four Square Botany Junction,309
Thursday,Four Square Britomart,232
Thursday,Four Square Cockle Bay,238
Thursday,Four Square Eden Terrace,288
Thursday,Four Square Ellerslie,279
Thursday,Four Square Fair Price Henderson,257
Thursday,Four Square Glen Eden,143
Thursday,Four Square Hobsonville,164
Thursday,Four Square Lancaster,158
Thursday,Four Square Onehunga,674
Thursday,Four Square Pakuranga Heights,311
Thursday,Four Square Remuera,276
Thursday,Four Square St Heliers,177
Thursday,Four Square Torbay,129
Thursday,New World Albany,49
Thursday,New World Birkenhead,64
Thursday,New World Botany,62
Thursday,New World Browns Bay,57
Thursday,New World Devonport,50
Thursday,New World Eastridge,69
Thursday,New World Green Bay,96
Thursday,New World Hobsonville,87
Thursday,New World Howick,84
Thursday,New World Long Bay,73
Thursday,New World Metro Queen St,246
Thursday,New World Metro Shore City,285
Thursday,New World Milford,76
Thursday,New World Mt Albert,91
Thursday,New World Mt Roskill,208
Thursday,New World New Lynn,91
Thursday,New World Newmarket,114
Thursday,New World Ormiston,81
Thursday,New World Papakura,62
Thursday,New World Papatoetoe,80
Thursday,New World Point Chevalier,121
Thursday,New World Remuera,96
Thursday,New World Southmall,69
Thursday,New World Stonefields,91
Thursday,New World Victoria Park,81
Thursday,Pak 'n Save Albany,24
Thursday,Pak 'n Save Botany,73
Thursday,Pak 'n Save Clendon,33
Thursday,Pak 'n Save Glen Innes,45
Thursday,Pak 'n Save Henderson,38
Thursday,Pak 'n Save Highland Park,43
Thursday,Pak 'n Save Lincoln Road,9
Thursday,Pak 'n Save Mangere,55
Thursday,Pak 'n Save Manukau,63
Thursday,Pak 'n Save Mt Albert,67
Thursday,Pak 'n Save Ormiston,38
Thursday,Pak 'n Save Papakura,26
Thursday,Pak 'n Save Royal Oak,69
Thursday,Pak 'n Save Sylvia Park,32
Thursday,Pak 'n Save Wairau Road,30
Thursday,Pak 'n Save Westgate,9
Friday,Four Square Botany Junction,174
Friday,Four Square Britomart,250
Friday,Four Square Cockle Bay,153
Friday,Four Square Eden Terrace,271
Friday,Four Square Ellerslie,565
Friday,Four Square Fair Price Henderson,238
Friday,Four Square Glen Eden,258
Friday,Four Square Hobsonville,241
Friday,Four Square Lancaster,151
Friday,Four Square Onehunga,259
Friday,Four Square Pakuranga Heights,210
Friday,Four Square Remuera,268
Friday,Four Square St Heliers,166
Friday,Four Square Torbay,140
Friday,New World Albany,64
Friday,New World Birkenhead,69
Friday,New World Botany,90
Friday,New World Browns Bay,50
Friday,New World Devonport,71
Friday,New World Eastridge,103
Friday,New World Green Bay,91
Friday,New World Hobsonville,86
Friday,New World Howick,72
Friday,New World Long Bay,70
Friday,New World Metro Queen St,268
Friday,New World Metro Shore City,252
Friday,New World Milford,65
Friday,New World Mt Albert,121
Friday,New World Mt Roskill,216
Friday,New World New Lynn,103
Friday,New World Newmarket,79
Friday,New World Ormiston,69
Friday,New World Papakura,55
Friday,New World Papatoetoe,90
Friday,New World Point Chevalier,153
Friday,New World Remuera,107
Friday,New World Southmall,84
Friday,New World Stonefields,92
Friday,New World Victoria Park,86
Friday,Pak 'n Save Albany,36
Friday,Pak 'n Save Botany,33
Friday,Pak 'n Save Clendon,24
Friday,Pak 'n Save Glen Innes,26
Friday,Pak 'n Save Henderson,41
Friday,Pak 'n Save Highland Park,58
Friday,Pak 'n Save Lincoln Road,33
Friday,Pak 'n Save Mangere,42
Friday,Pak 'n Save Manukau,31
Friday,Pak 'n Save Mt Albert,30
Friday,Pak 'n Save Ormiston,45
Friday,Pak 'n Save Papakura,31
Friday,Pak 'n Save Royal Oak,26
Friday,Pak 'n Save Sylvia Park,34
Friday,Pak 'n Save Wairau Road,42
Friday,Pak 'n Save Westgate,10
Saturday,Four Square Botany Junction,287
Saturday,Four Square Eden Terrace,314
Saturday,Four Square Ellerslie,273
Saturday,Four Square Fair Price Henderson,247
Saturday,Four Square Glen Eden,174
Saturday,Four Square Hobsonville,197
Saturday,Four Square Lancaster,160
Saturday,Four Square Onehunga,527
Saturday,Four Square Pakuranga Heights,160
Saturday,Four Square Remuera,240
Saturday,Four Square St Heliers,151
Saturday,Four Square Torbay,154
Saturday,New World Albany,191
Saturday,New World Birkenhead,168
Saturday,New World Botany,196
Saturday,New World Browns Bay,170
Saturday,New World Devonport,145
Saturday,New World Eastridge,177
Saturday,New World Green Bay,275
Saturday,New World Hobsonville,217
Saturday,New World Howick,157
Saturday,New World Long Bay,165
Saturday,New World Metro Queen St,266
Saturday,New World Metro Shore City,179
Saturday,New World Milford,200
Saturday,New World Mt Albert,489
Saturday,New World Mt Roskill,957
Saturday,New World New Lynn,295
Saturday,New World Newmarket,300
Saturday,New World Ormiston,243
Saturday,New World Papakura,154
Saturday,New World Papatoetoe,247
Saturday,New World Point Chevalier,380
Saturday,New World Remuera,231
Saturday,New World Southmall,168
Saturday,New World Stonefields,203
Saturday,New World Victoria Park,275
Saturday,Pak 'n Save Albany,218
Saturday,Pak 'n Save Botany,214
Saturday,Pak 'n Save Clendon,164
Saturday,Pak 'n Save Glen Innes,180
Saturday,Pak 'n Save Henderson,213
Saturday,Pak 'n Save Highland Park,175
Saturday,Pak 'n Save Lincoln Road,316
Saturday,Pak 'n Save Mangere,233
Saturday,Pak 'n Save Manukau,249
Saturday,Pak 'n Save Mt Albert,549
Saturday,Pak 'n Save Ormiston,227
Saturday,Pak 'n Save Papakura,170
Saturday,Pak 'n Save Royal Oak,528
Saturday,Pak 'n Save Sylvia Park,266
Saturday,Pak 'n Save Wairau Road,233
Saturday,Pak 'n Save Westgate,231
