RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops
Fri_00001,Friday,Four Square Ellerslie,2,56.7,36,92.7,339.8,0.0,0.0,339.8,1
Fri_00002,Friday,Four Square Glen Eden,3,42.8,54,96.8,354.77,0.0,0.0,354.77,1
Fri_00003,Friday,Four Square Onehunga,4,25.9,72,97.9,358.99,0.0,0.0,358.99,1
Fri_00004,Friday,Four Square Fair Price Henderson,3,54.2,54,108.2,396.8,0.0,0.0,396.8,1
Fri_00005,Friday,Four Square Eden Terrace,4,39.5,72,111.5,408.99,0.0,0.0,408.99,1
Fri_00006,Friday,Four Square Hobsonville,3,61.9,54,115.9,424.94,0.0,0.0,424.94,1
Fri_00007,Friday,New World Metro Queen St,4,47.6,72,119.6,438.37,0.0,0.0,438.37,1
Fri_00008,Friday,Four Square Britomart,4,48.7,72,120.7,442.72,0.0,0.0,442.72,1
Fri_00009,Friday,New World Metro Shore City,3,68.9,54,122.9,450.71,0.0,0.0,450.71,1
Fri_00010,Friday,Four Square Remuera,4,56.8,72,128.8,472.32,0.0,0.0,472.32,1
Fri_00011,Friday,Four Square Botany Junction,4,67.3,72,139.3,510.95,0.0,0.0,510.95,1
Fri_00012,Friday,New World Point Chevalier,6,34.7,108,142.7,523.37,0.0,0.0,523.37,1
Fri_00013,Friday,Four Square Pakuranga Heights,4,71.4,72,143.4,525.68,0.0,0.0,525.68,1
Fri_00014,Friday,New World Mt Albert,7,24.2,126,150.2,550.84,0.0,0.0,550.84,1
Fri_00015,Friday,New World Mt Roskill,8,6.5,144,150.5,552.0,0.0,0.0,552.0,1
Fri_00016,Friday,Four Square St Heliers,4,80.0,72,152.0,557.2,0.0,0.0,557.2,1
Fri_00017,Friday,Four Square Lancaster,4,80.8,72,152.8,560.13,0.0,0.0,560.13,1
Fri_00018,Friday,"Four Square Onehunga,Four Square Ellerslie",6,51.4,108,159.4,584.49,0.0,0.0,584.49,2
Fri_00019,Friday,Four Square Cockle Bay,4,91.8,72,163.8,600.43,0.0,0.0,600.43,1
Fri_00020,Friday,"Four Square Ellerslie,Four Square Remuera",6,60.3,108,168.3,617.02,0.0,0.0,617.02,2
Fri_00021,Friday,"Four Square Eden Terrace,Four Square Ellerslie",6,61.2,108,169.2,620.43,0.0,0.0,620.43,2
Fri_00022,Friday,New World New Lynn,8,27.7,144,171.7,629.55,0.0,0.0,629.55,1
Fri_00023,Friday,"Four Square Glen Eden,Four Square Fair Price Henderson",6,66.4,108,174.4,639.32,0.0,0.0,639.32,2
Fri_00024,Friday,"New World Metro Queen St,Four Square Ellerslie",6,67.7,108,175.7,644.35,0.0,0.0,644.35,2
Fri_00025,Friday,Four Square Torbay,4,104.3,72,176.3,646.34,0.0,0.0,646.34,1
Fri_00026,Friday,"Four Square Glen Eden,Four Square Ellerslie",5,86.6,90,176.6,647.41,0.0,0.0,647.41,2
Fri_00027,Friday,New World Papatoetoe,7,50.8,126,176.8,648.14,0.0,0.0,648.14,1
Fri_00028,Friday,"Four Square Britomart,Four Square Ellerslie",6,68.9,108,176.9,648.69,0.0,0.0,648.69,2
Fri_00029,Friday,"Four Square Fair Price Henderson,Four Square Ellerslie",5,87.4,90,177.4,650.58,0.0,0.0,650.58,2
Fri_00030,Friday,"Four Square Ellerslie,New World Metro Shore City",5,90.7,90,180.7,662.4,0.0,0.0,662.4,2
Fri_00031,Friday,"Four Square Fair Price Henderson,Four Square Hobsonville",6,75.2,108,183.2,671.74,0.0,0.0,671.74,2
