RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops
Thu_00001,Thursday,Four Square Onehunga,2,25.9,36,61.9,226.99,0.0,0.0,226.99,1
Thu_00002,Thursday,Four Square Fair Price Henderson,3,54.2,54,108.2,396.8,0.0,0.0,396.8,1
Thu_00003,Thursday,Four Square Eden Terrace,4,39.5,72,111.5,408.99,0.0,0.0,408.99,1
Thu_00004,Thursday,New World Metro Queen St,4,47.6,72,119.6,438.37,0.0,0.0,438.37,1
Thu_00005,Thursday,Four Square Britomart,4,48.7,72,120.7,442.72,0.0,0.0,442.72,1
Thu_00006,Thursday,Four Square Botany Junction,3,67.3,54,121.3,444.95,0.0,0.0,444.95,1
Thu_00007,Thursday,New World Metro Shore City,3,68.9,54,122.9,450.71,0.0,0.0,450.71,1
Thu_00008,Thursday,Four Square Pakuranga Heights,3,71.4,54,125.4,459.68,0.0,0.0,459.68,1
Thu_00009,Thursday,Four Square Ellerslie,4,56.7,72,128.7,471.8,0.0,0.0,471.8,1
Thu_00010,Thursday,Four Square Remuera,4,56.8,72,128.8,472.32,0.0,0.0,472.32,1
Thu_00011,Thursday,Four Square Glen Eden,5,42.8,90,132.8,486.77,0.0,0.0,486.77,1
Thu_00012,Thursday,Four Square Hobsonville,4,61.9,72,133.9,490.94,0.0,0.0,490.94,1
Thu_00013,Thursday,Four Square Cockle Bay,3,91.8,54,145.8,534.43,0.0,0.0,534.43,1
Thu_00014,Thursday,New World Mt Roskill,8,6.5,144,150.5,552.0,0.0,0.0,552.0,1
Thu_00015,Thursday,Four Square St Heliers,4,80.0,72,152.0,557.2,0.0,0.0,557.2,1
Thu_00016,Thursday,Four Square Lancaster,4,80.8,72,152.8,560.13,0.0,0.0,560.13,1
Thu_00017,Thursday,"Four Square Onehunga,Four Square Eden Terrace",6,47.2,108,155.2,569.04,0.0,0.0,569.04,2
Thu_00018,Thursday,"Four Square Onehunga,Four Square Fair Price Henderson",5,69.2,90,159.2,583.68,0.0,0.0,583.68,2
Thu_00019,Thursday,"Four Square Onehunga,Four Square Ellerslie",6,51.4,108,159.4,584.49,0.0,0.0,584.49,2
Thu_00020,Thursday,New World Point Chevalier,7,34.7,126,160.7,589.37,0.0,0.0,589.37,1
Thu_00021,Thursday,"Four Square Onehunga,Four Square Remuera",6,53.2,108,161.2,591.02,0.0,0.0,591.02,2
Thu_00022,Thursday,"Four Square Onehunga,New World Metro Queen St",6,54.4,108,162.4,595.5,0.0,0.0,595.5,2
Thu_00023,Thursday,"Four Square Onehunga,Four Square Pakuranga Heights",5,74.0,90,164.0,601.32,0.0,0.0,601.32,2
Thu_00024,Thursday,"Four Square Onehunga,Four Square Britomart",6,56.3,108,164.3,602.28,0.0,0.0,602.28,2
Thu_00025,Thursday,"Four Square Onehunga,Four Square Botany Junction",5,74.5,90,164.5,603.24,0.0,0.0,603.24,2
Thu_00026,Thursday,"Four Square Onehunga,New World Metro Shore City",5,77.6,90,167.6,614.36,0.0,0.0,614.36,2
