route_id,stops,num_stops,total_pallets,total_duration_sec,cost,over_policy_35h,overtime_4h,total_duration_hms
Wed_00001,Four Square Cockle Bay,1,2,7665.24,468.43,False,False,02:07:45.240000
Wed_00002,Four Square Cockle Bay;Four Square Pakuranga Heights,2,5,11077.78,676.98,False,False,03:04:37.780000
Wed_00003,Four Square Pakuranga Heights;Four Square Cockle Bay;Four Square Botany Junction,3,9,15419.75,1190.0,True,True,04:16:59.750000
Wed_00004,Four Square Pakuranga Heights;Four Square Cockle Bay;New World Ormiston;Four Square Botany Junction,4,16,23286.64,1810.0,True,True,06:28:06.640000
Wed_00005,Four Square Pakuranga Heights;Four Square Cockle Bay;Four Square Botany Junction;New World Southmall,4,16,23772.71,1810.0,True,True,06:36:12.710000
Wed_00006,Four Square Pakuranga Heights;Four Square Cockle Bay;New World Botany,3,13,19742.02,1500.0,True,True,05:29:02.020000
Wed_00007,Four Square Cockle Bay;New World Howick;Four Square Pakuranga Heights,3,13,19765.54,1500.0,True,True,05:29:25.540000
Wed_00008,Pak 'n Save Highland Park;Four Square Cockle Bay;Four Square Pakuranga Heights,3,15,21932.55,1810.0,True,True,06:05:32.550000
Wed_00009,Four Square Cockle Bay;New World Botany,2,10,16268.34,1190.0,True,True,04:31:08.340000
Wed_00010,Four Square Cockle Bay;New World Howick,2,10,16353.0,1190.0,True,True,04:32:33
Wed_00011,Pak 'n Save Highland Park;Four Square Cockle Bay,2,12,18520.01,1500.0,True,True,05:08:40.010000
Wed_00012,Four Square Cockle Bay;Pak 'n Save Botany,2,14,20596.61,1500.0,True,True,05:43:16.610000
Wed_00013,Four Square Ellerslie,1,3,6640.42,405.8,False,False,01:50:40.420000
Wed_00014,Four Square Ellerslie;New World Metro Queen St,2,6,10530.71,643.54,False,False,02:55:30.710000
Wed_00015,Four Square Britomart;New World Metro Queen St;Four Square Ellerslie,3,10,15000.39,1190.0,True,True,04:10:00.390000
Wed_00016,Four Square Britomart;New World Metro Queen St;Four Square Ellerslie;Four Square Eden Terrace,4,14,19537.64,1500.0,True,True,05:25:37.640000
Wed_00017,Four Square Britomart;New World Metro Queen St;Four Square Ellerslie;Four Square Onehunga,4,14,18962.99,1500.0,True,True,05:16:02.990000
Wed_00018,Four Square Britomart;New World Metro Queen St;Four Square Ellerslie;Four Square Remuera,4,14,19536.71,1500.0,True,True,05:25:36.710000
Wed_00019,Four Square Eden Terrace;New World Metro Queen St;Four Square Ellerslie;Four Square Onehunga,4,14,19048.26,1500.0,True,True,05:17:28.260000
