route_id,mode,stops,num_stops,total_pallets,total_duration_sec,cost
Thu_00016,owned,Four Square Onehunga;New World Newmarket,2,9,12638.76,772.3686666666666
Thu_00030,owned,New World Ormiston;Four Square Botany Junction,2,11,16247.96,1039.1298888888887
Thu_00041,owned,Four Square Cockle Bay;New World Howick,2,11,17433.0,1141.1750000000002
Thu_00046,owned,Four Square Fair Price Henderson;Pak 'n Save Henderson,2,13,17727.13,1166.5028611111113
Thu_00052,owned,Four Square Pakuranga Heights;Pak 'n Save Botany,2,12,17815.81,1174.1391944444445
Thu_00056,owned,New World Metro Shore City;New World Milford,2,11,16588.98,1068.4954999999998
Thu_00063,owned,Four Square Britomart;New World Metro Queen St;Four Square Eden Terrace,3,12,16173.38,1032.7077222222222
Thu_00096,owned,Four Square Ellerslie;New World Stonefields,2,12,16978.87,1102.0693611111112
Thu_00100,owned,New World Hobsonville;Four Square Hobsonville,2,12,16732.02,1080.8128333333334
Thu_00102,owned,Four Square Lancaster;Pak 'n Save Wairau Road,2,15,21419.9,1484.491388888889
Thu_00106,owned,New World Remuera;Four Square Remuera,2,12,16469.85,1058.2370833333332
Thu_00112,owned,Pak 'n Save Glen Innes;Four Square St Heliers,2,14,20277.14,1386.0870555555557
Thu_00116,owned,Four Square Torbay;New World Albany,2,13,20673.56,1420.2232222222224
Thu_00120,owned,Four Square Glen Eden,1,5,7965.3,486.7683333333333
Thu_00122,owned,New World Papakura,1,7,12397.54,757.6274444444444
Thu_00123,owned,New World Papatoetoe,1,7,10605.88,648.137111111111
Thu_00124,owned,New World Point Chevalier,1,7,9644.17,589.3659444444445
Thu_00125,owned,New World Southmall,1,7,11353.98,693.8543333333333
Thu_00127,owned,New World Long Bay;New World Browns Bay,2,16,23823.86,1691.4990555555555
Thu_00128,owned,New World Green Bay,1,8,10365.54,633.4496666666668
Thu_00133,owned,New World Mt Roskill,1,8,9032.66,551.9958888888889
Thu_00134,owned,New World New Lynn,1,8,10301.69,629.5477222222223
Thu_00139,owned,New World Birkenhead,1,9,13945.77,852.2415
Thu_00140,owned,New World Botany,1,9,14511.66,889.6151666666667
Thu_00141,owned,New World Devonport,1,9,15228.05,951.3043055555554
Thu_00142,owned,New World Eastridge,1,9,13875.46,847.9447777777777
Thu_00143,owned,New World Mt Albert,1,9,11173.78,682.8421111111112
Thu_00144,owned,New World Victoria Park,1,9,12511.39,764.5849444444444
Thu_00146,owned,Pak 'n Save Manukau,1,9,13076.7,799.1316666666667
Thu_00149,owned,Pak 'n Save Highland Park,1,10,15558.37,979.7485277777778
Thu_00150,owned,Pak 'n Save Mangere,1,10,13119.57,801.7515
Thu_00151,owned,Pak 'n Save Mt Albert,1,10,12099.27,739.3998333333334
Thu_00152,owned,Pak 'n Save Ormiston,1,10,15217.23,950.3725833333333
Thu_00153,owned,Pak 'n Save Royal Oak,1,10,12413.54,758.6052222222223
Thu_00154,owned,Pak 'n Save Clendon,1,11,15687.34,990.8542777777778
Thu_00155,owned,Pak 'n Save Papakura,1,11,16551.63,1065.2792500000003
Thu_00156,owned,Pak 'n Save Sylvia Park,1,11,15809.55,1001.3779166666667
Thu_00158,owned,Pak 'n Save Albany,1,12,18219.99,1208.9435833333337
Thu_00159,owned,Pak 'n Save Lincoln Road,1,13,16881.89,1093.7183055555556
Thu_00160,owned,Pak 'n Save Westgate,1,13,17279.0,1127.9138888888888
