RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops
Sat_00001,Saturday,New World Mt Roskill,2,6.5,36,42.5,156.0,0.0,0.0,156.0,1
Sat_00002,Saturday,Four Square Onehunga,1,25.9,18,43.9,160.99,0.0,0.0,160.99,1
Sat_00003,Saturday,Four Square Eden Terrace,1,39.5,18,57.5,210.99,0.0,0.0,210.99,1
Sat_00004,Saturday,Four Square Glen Eden,1,42.8,18,60.8,222.77,0.0,0.0,222.77,1
Sat_00005,Saturday,Four Square Fair Price Henderson,1,54.2,18,72.2,264.8,0.0,0.0,264.8,1
Sat_00006,Saturday,Four Square Ellerslie,1,56.7,18,74.7,273.8,0.0,0.0,273.8,1
Sat_00007,Saturday,Four Square Remuera,1,56.8,18,74.8,274.32,0.0,0.0,274.32,1
Sat_00008,Saturday,New World Mt Albert,3,24.2,54,78.2,286.84,0.0,0.0,286.84,1
Sat_00009,Saturday,Four Square Hobsonville,1,61.9,18,79.9,292.94,0.0,0.0,292.94,1
Sat_00010,Saturday,"New World Mt Roskill,Four Square Onehunga",3,26.6,54,80.6,295.53,0.0,0.0,295.53,2
Sat_00011,Saturday,New World New Lynn,3,27.7,54,81.7,299.55,0.0,0.0,299.55,1
Sat_00012,Saturday,New World Green Bay,3,28.8,54,82.8,303.45,0.0,0.0,303.45,1
Sat_00013,Saturday,"Four Square Onehunga,Four Square Eden Terrace",2,47.2,36,83.2,305.04,0.0,0.0,305.04,2
Sat_00014,Saturday,New World Metro Queen St,2,47.6,36,83.6,306.37,0.0,0.0,306.37,1
Sat_00015,Saturday,Four Square Botany Junction,1,67.3,18,85.3,312.95,0.0,0.0,312.95,1
Sat_00016,Saturday,"Four Square Ellerslie,Four Square Onehunga",2,50.7,36,86.7,317.96,0.0,0.0,317.96,2
Sat_00017,Saturday,New World Metro Shore City,1,68.9,18,86.9,318.71,0.0,0.0,318.71,1
Sat_00018,Saturday,New World Point Chevalier,3,34.7,54,88.7,325.37,0.0,0.0,325.37,1
Sat_00019,Saturday,"Four Square Onehunga,Four Square Remuera",2,53.2,36,89.2,327.02,0.0,0.0,327.02,2
Sat_00020,Saturday,New World Remuera,2,53.8,36,89.8,329.41,0.0,0.0,329.41,1
Sat_00021,Saturday,"New World Mt Roskill,Four Square Eden Terrace",3,40.2,54,94.2,345.52,0.0,0.0,345.52,2
Sat_00022,Saturday,"Four Square Ellerslie,Four Square Remuera",2,60.3,36,96.3,353.02,0.0,0.0,353.02,2
Sat_00023,Saturday,"Four Square Ellerslie,Four Square Eden Terrace",2,60.3,36,96.3,353.08,0.0,0.0,353.08,2
Sat_00024,Saturday,"Four Square Remuera,Four Square Eden Terrace",2,60.4,36,96.4,353.59,0.0,0.0,353.59,2
Sat_00025,Saturday,Four Square St Heliers,1,80.0,18,98.0,359.2,0.0,0.0,359.2,1
Sat_00026,Saturday,"Four Square Onehunga,Four Square Glen Eden",2,62.0,36,98.0,359.46,0.0,0.0,359.46,2
Sat_00027,Saturday,Four Square Lancaster,1,80.8,18,98.8,362.13,0.0,0.0,362.13,1
Sat_00028,Saturday,"New World Mt Roskill,Four Square Glen Eden",3,44.9,54,98.9,362.57,0.0,0.0,362.57,2
Sat_00029,Saturday,New World Newmarket,3,45.6,54,99.6,365.13,0.0,0.0,365.13,1
Sat_00030,Saturday,New World Victoria Park,3,46.5,54,100.5,368.58,0.0,0.0,368.58,1
Sat_00031,Saturday,"Four Square Glen Eden,Four Square Fair Price Henderson",2,66.4,36,102.4,375.32,0.0,0.0,375.32,2
Sat_00032,Saturday,New World Papatoetoe,3,50.8,54,104.8,384.14,0.0,0.0,384.14,1
Sat_00033,Saturday,"Four Square Onehunga,Four Square Fair Price Henderson",2,69.2,36,105.2,385.68,0.0,0.0,385.68,2
Sat_00034,Saturday,"Four Square Eden Terrace,New World Metro Queen St",3,51.3,54,105.3,385.93,0.0,0.0,385.93,2
Sat_00035,Saturday,"Four Square Eden Terrace,Four Square Glen Eden",2,69.3,36,105.3,385.97,0.0,0.0,385.97,2
Sat_00036,Saturday,"Four Square Onehunga,New World Remuera",3,51.3,54,105.3,386.25,0.0,0.0,386.25,2
Sat_00037,Saturday,"Four Square Fair Price Henderson,Four Square Eden Terrace",2,70.3,36,106.3,389.77,0.0,0.0,389.77,2
Sat_00038,Saturday,Four Square Pakuranga Heights,2,71.4,36,107.4,393.68,0.0,0.0,393.68,1
Sat_00039,Saturday,"Four Square Onehunga,New World Metro Queen St",3,54.4,54,108.4,397.5,0.0,0.0,397.5,2
Sat_00040,Saturday,"New World Mt Roskill,Four Square Fair Price Henderson",3,54.9,54,108.9,399.33,0.0,0.0,399.33,2
Sat_00041,Saturday,"Four Square Onehunga,Four Square Ellerslie,Four Square Remuera",3,55.0,54,109.0,399.71,0.0,0.0,399.71,3
Sat_00042,Saturday,"Four Square Onehunga,Four Square Ellerslie,Four Square Eden Terrace",3,55.0,54,109.0,399.76,0.0,0.0,399.76,3
Sat_00043,Saturday,"Four Square Onehunga,Four Square Botany Junction",2,74.5,36,110.5,405.24,0.0,0.0,405.24,2
Sat_00044,Saturday,"Four Square Onehunga,Four Square St Heliers",2,75.2,36,111.2,407.57,0.0,0.0,407.57,2
Sat_00045,Saturday,"Four Square Fair Price Henderson,Four Square Hobsonville",2,75.2,36,111.2,407.74,0.0,0.0,407.74,2
Sat_00046,Saturday,"New World Mt Roskill,Four Square Ellerslie",3,57.4,54,111.4,408.34,0.0,0.0,408.34,2
Sat_00047,Saturday,"New World Remuera,Four Square Eden Terrace",3,57.5,54,111.5,408.69,0.0,0.0,408.69,2
Sat_00048,Saturday,"New World Mt Roskill,Four Square Remuera",3,57.5,54,111.5,408.85,0.0,0.0,408.85,2
Sat_00049,Saturday,Pak 'n Save Mt Albert,5,21.7,90,111.7,409.4,0.0,0.0,409.4,1
Sat_00050,Saturday,"New World Remuera,Four Square Remuera",3,58.5,54,112.5,412.49,0.0,0.0,412.49,2
Sat_00051,Saturday,"New World Mt Albert,Four Square Eden Terrace",4,40.6,72,112.6,412.85,0.0,0.0,412.85,2
Sat_00052,Saturday,"Four Square Onehunga,Four Square Hobsonville",2,76.9,36,112.9,413.81,0.0,0.0,413.81,2
Sat_00053,Saturday,"Four Square Onehunga,New World Mt Albert",4,41.1,72,113.1,414.62,0.0,0.0,414.62,2
Sat_00054,Saturday,"Four Square Onehunga,New World Metro Shore City",2,77.6,36,113.6,416.36,0.0,0.0,416.36,2
Sat_00055,Saturday,"Four Square Hobsonville,Four Square Eden Terrace",2,78.0,36,114.0,417.91,0.0,0.0,417.91,2
Sat_00056,Saturday,"New World Metro Shore City,Four Square Eden Terrace",2,78.6,36,114.6,420.25,0.0,0.0,420.25,2
Sat_00057,Saturday,"New World Mt Roskill,New World Mt Albert",5,24.9,90,114.9,421.37,0.0,0.0,421.37,2
Sat_00058,Saturday,New World Hobsonville,3,61.5,54,115.5,423.49,0.0,0.0,423.49,1
Sat_00059,Saturday,"Four Square Ellerslie,New World Remuera",3,62.0,54,116.0,425.25,0.0,0.0,425.25,2
Sat_00060,Saturday,"Four Square Remuera,Four Square St Heliers",2,80.6,36,116.6,427.35,0.0,0.0,427.35,2
Sat_00061,Saturday,"New World Mt Roskill,Four Square Hobsonville",3,62.6,54,116.6,427.47,0.0,0.0,427.47,2
Sat_00062,Saturday,New World Southmall,3,63.2,54,117.2,429.85,0.0,0.0,429.85,1
Sat_00063,Saturday,"Four Square Ellerslie,Four Square St Heliers",2,81.4,36,117.4,430.55,0.0,0.0,430.55,2
Sat_00064,Saturday,"Four Square Glen Eden,New World Green Bay",4,45.4,72,117.4,430.59,0.0,0.0,430.59,2
Sat_00065,Saturday,"Four Square Glen Eden,New World New Lynn",4,45.7,72,117.7,431.7,0.0,0.0,431.7,2
Sat_00066,Saturday,"Four Square Ellerslie,Four Square Remuera,Four Square Eden Terrace",3,63.9,54,117.9,432.3,0.0,0.0,432.3,3
Sat_00067,Saturday,"Four Square Eden Terrace,New World Point Chevalier",4,46.1,72,118.1,432.88,0.0,0.0,432.88,2
Sat_00068,Saturday,"Four Square Onehunga,New World New Lynn",4,46.2,72,118.2,433.24,0.0,0.0,433.24,2
