RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops
Mon_00001,Monday,Four Square Onehunga,3,25.9,54,79.9,292.99,0.0,0.0,292.99,1
Mon_00002,Monday,Four Square Glen Eden,3,42.8,54,96.8,354.77,0.0,0.0,354.77,1
Mon_00003,Monday,Four Square Britomart,3,48.7,54,102.7,376.72,0.0,0.0,376.72,1
Mon_00004,Monday,New World Metro Shore City,2,68.9,36,104.9,384.71,0.0,0.0,384.71,1
Mon_00005,Monday,Four Square Pakuranga Heights,2,71.4,36,107.4,393.68,0.0,0.0,393.68,1
Mon_00006,Monday,Four Square Fair Price Henderson,3,54.2,54,108.2,396.8,0.0,0.0,396.8,1
Mon_00007,Monday,Four Square Ellerslie,3,56.7,54,110.7,405.8,0.0,0.0,405.8,1
Mon_00008,Monday,Four Square Remuera,3,56.8,54,110.8,406.32,0.0,0.0,406.32,1
Mon_00009,Monday,Four Square Eden Terrace,4,39.5,72,111.5,408.99,0.0,0.0,408.99,1
Mon_00010,Monday,New World Metro Queen St,4,47.6,72,119.6,438.37,0.0,0.0,438.37,1
Mon_00011,Monday,Four Square Botany Junction,3,67.3,54,121.3,444.95,0.0,0.0,444.95,1
Mon_00012,Monday,New World Mt Roskill,7,6.5,126,132.5,486.0,0.0,0.0,486.0,1
Mon_00013,Monday,Four Square Hobsonville,4,61.9,72,133.9,490.94,0.0,0.0,490.94,1
Mon_00014,Monday,Four Square Lancaster,3,80.8,54,134.8,494.13,0.0,0.0,494.13,1
Mon_00015,Monday,New World New Lynn,6,27.7,108,135.7,497.55,0.0,0.0,497.55,1
Mon_00016,Monday,New World Green Bay,6,28.8,108,136.8,501.45,0.0,0.0,501.45,1
Mon_00017,Monday,Four Square Cockle Bay,3,91.8,54,145.8,534.43,0.0,0.0,534.43,1
Mon_00018,Monday,Four Square St Heliers,4,80.0,72,152.0,557.2,0.0,0.0,557.2,1
Mon_00019,Monday,"Four Square Pakuranga Heights,Four Square Onehunga",5,66.1,90,156.1,572.53,0.0,0.0,572.53,2
