RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops
Tue_00001,Tuesday,Four Square Onehunga,3,25.9,54,79.9,292.99,0.0,0.0,292.99,1
Tue_00002,Tuesday,Four Square Eden Terrace,3,39.5,54,93.5,342.99,0.0,0.0,342.99,1
Tue_00003,Tuesday,Four Square Britomart,3,48.7,54,102.7,376.72,0.0,0.0,376.72,1
Tue_00004,Tuesday,Four Square Glen Eden,4,42.8,72,114.8,420.77,0.0,0.0,420.77,1
Tue_00005,Tuesday,Four Square Hobsonville,3,61.9,54,115.9,424.94,0.0,0.0,424.94,1
Tue_00006,Tuesday,New World Metro Queen St,4,47.6,72,119.6,438.37,0.0,0.0,438.37,1
Tue_00007,Tuesday,Four Square Fair Price Henderson,4,54.2,72,126.2,462.8,0.0,0.0,462.8,1
Tue_00008,Tuesday,Four Square Ellerslie,4,56.7,72,128.7,471.8,0.0,0.0,471.8,1
Tue_00009,Tuesday,Four Square Remuera,4,56.8,72,128.8,472.32,0.0,0.0,472.32,1
Tue_00010,Tuesday,New World Mt Roskill,7,6.5,126,132.5,486.0,0.0,0.0,486.0,1
Tue_00011,Tuesday,Four Square St Heliers,3,80.0,54,134.0,491.2,0.0,0.0,491.2,1
Tue_00012,Tuesday,Four Square Lancaster,3,80.8,54,134.8,494.13,0.0,0.0,494.13,1
Tue_00013,Tuesday,Four Square Botany Junction,4,67.3,72,139.3,510.95,0.0,0.0,510.95,1
Tue_00014,Tuesday,New World Metro Shore City,4,68.9,72,140.9,516.71,0.0,0.0,516.71,1
Tue_00015,Tuesday,New World Point Chevalier,6,34.7,108,142.7,523.37,0.0,0.0,523.37,1
Tue_00016,Tuesday,Four Square Pakuranga Heights,4,71.4,72,143.4,525.68,0.0,0.0,525.68,1
Tue_00017,Tuesday,New World Newmarket,6,45.6,108,153.6,563.13,0.0,0.0,563.13,1
Tue_00018,Tuesday,New World New Lynn,7,27.7,126,153.7,563.55,0.0,0.0,563.55,1
Tue_00019,Tuesday,New World Green Bay,7,28.8,126,154.8,567.45,0.0,0.0,567.45,1
Tue_00020,Tuesday,"Four Square Onehunga,Four Square Eden Terrace",6,47.2,108,155.2,569.04,0.0,0.0,569.04,2
Tue_00021,Tuesday,"Four Square Eden Terrace,Four Square Britomart",6,54.0,108,162.0,594.1,0.0,0.0,594.1,2
Tue_00022,Tuesday,Four Square Cockle Bay,4,91.8,72,163.8,600.43,0.0,0.0,600.43,1
Tue_00023,Tuesday,"Four Square Onehunga,Four Square Britomart",6,56.3,108,164.3,602.28,0.0,0.0,602.28,2
Tue_00024,Tuesday,New World Mt Albert,8,24.2,144,168.2,616.84,0.0,0.0,616.84,1
Tue_00025,Tuesday,Four Square Torbay,4,104.3,72,176.3,646.34,0.0,0.0,646.34,1
Tue_00026,Tuesday,"New World Metro Queen St,Four Square Britomart",7,50.3,126,176.3,646.55,0.0,0.0,646.55,2
Tue_00027,Tuesday,"Four Square Eden Terrace,New World Metro Queen St",7,51.3,126,177.3,649.93,0.0,0.0,649.93,2
