RouteID,Weekday,Stores,Pallets,DriveMin,UnloadMin,TotalMin,BaseCost,OvertimeMin,OvertimeCost,TotalCost,NStops
Wed_00001,Wednesday,Four Square Glen Eden,3,42.8,54,96.8,354.77,0.0,0.0,354.77,1
Wed_00002,Wednesday,Four Square Onehunga,4,25.9,72,97.9,358.99,0.0,0.0,358.99,1
Wed_00003,Wednesday,New World Metro Queen St,3,47.6,54,101.6,372.37,0.0,0.0,372.37,1
Wed_00004,Wednesday,Four Square Ellerslie,3,56.7,54,110.7,405.8,0.0,0.0,405.8,1
Wed_00005,Wednesday,Four Square Eden Terrace,4,39.5,72,111.5,408.99,0.0,0.0,408.99,1
Wed_00006,Wednesday,Four Square Hobsonville,3,61.9,54,115.9,424.94,0.0,0.0,424.94,1
Wed_00007,Wednesday,Four Square Britomart,4,48.7,72,120.7,442.72,0.0,0.0,442.72,1
Wed_00008,Wednesday,New World Metro Shore City,3,68.9,54,122.9,450.71,0.0,0.0,450.71,1
Wed_00009,Wednesday,Four Square Pakuranga Heights,3,71.4,54,125.4,459.68,0.0,0.0,459.68,1
Wed_00010,Wednesday,Four Square Fair Price Henderson,4,54.2,72,126.2,462.8,0.0,0.0,462.8,1
Wed_00011,Wednesday,Four Square Cockle Bay,2,91.8,36,127.8,468.43,0.0,0.0,468.43,1
Wed_00012,Wednesday,Four Square Remuera,4,56.8,72,128.8,472.32,0.0,0.0,472.32,1
Wed_00013,Wednesday,Four Square St Heliers,3,80.0,54,134.0,491.2,0.0,0.0,491.2,1
Wed_00014,Wednesday,Four Square Botany Junction,4,67.3,72,139.3,510.95,0.0,0.0,510.95,1
Wed_00015,Wednesday,Four Square Lancaster,4,80.8,72,152.8,560.13,0.0,0.0,560.13,1
Wed_00016,Wednesday,New World Victoria Park,6,46.5,108,154.5,566.58,0.0,0.0,566.58,1
Wed_00017,Wednesday,New World Point Chevalier,7,34.7,126,160.7,589.37,0.0,0.0,589.37,1
Wed_00018,Wednesday,New World Mt Albert,8,24.2,144,168.2,616.84,0.0,0.0,616.84,1
Wed_00019,Wednesday,New World Mt Roskill,9,6.5,162,168.5,618.0,0.0,0.0,618.0,1
Wed_00020,Wednesday,New World New Lynn,8,27.7,144,171.7,629.55,0.0,0.0,629.55,1
Wed_00021,Wednesday,New World Green Bay,8,28.8,144,172.8,633.45,0.0,0.0,633.45,1
Wed_00022,Wednesday,"New World Metro Queen St,Four Square Ellerslie",6,67.7,108,175.7,644.35,0.0,0.0,644.35,2
Wed_00023,Wednesday,Four Square Torbay,4,104.3,72,176.3,646.34,0.0,0.0,646.34,1
Wed_00024,Wednesday,"New World Metro Queen St,Four Square Britomart",7,50.3,126,176.3,646.55,0.0,0.0,646.55,2
Wed_00025,Wednesday,"Four Square Eden Terrace,New World Metro Queen St",7,51.3,126,177.3,649.93,0.0,0.0,649.93,2
Wed_00026,Wednesday,"Four Square Onehunga,Four Square Ellerslie",7,51.4,126,177.4,650.49,0.0,0.0,650.49,2
Wed_00027,Wednesday,New World Birkenhead,6,70.4,108,178.4,654.24,0.0,0.0,654.24,1
Wed_00028,Wednesday,"Four Square Onehunga,New World Metro Queen St",7,54.4,126,180.4,661.5,0.0,0.0,661.5,2
Wed_00029,Wednesday,"Four Square Glen Eden,New World Metro Queen St",6,77.4,108,185.4,679.98,0.0,0.0,679.98,2
Wed_00030,Wednesday,"Four Square Pakuranga Heights,Four Square Cockle Bay",5,95.6,90,185.6,680.71,0.0,0.0,680.71,2
Wed_00031,Wednesday,"New World Metro Queen St,New World Metro Shore City",6,77.9,108,185.9,681.68,0.0,0.0,681.68,2
Wed_00032,Wednesday,"Four Square Ellerslie,Four Square Remuera",7,60.3,126,186.3,683.02,0.0,0.0,683.02,2
Wed_00033,Wednesday,"Four Square Eden Terrace,Four Square Ellerslie",7,61.2,126,187.2,686.43,0.0,0.0,686.43,2
Wed_00034,Wednesday,New World Hobsonville,7,61.5,126,187.5,687.49,0.0,0.0,687.49,1
Wed_00035,Wednesday,"Four Square Onehunga,Four Square Glen Eden",7,62.0,126,188.0,689.46,0.0,0.0,689.46,2
Wed_00036,Wednesday,New World Papakura,6,80.6,108,188.6,691.63,0.0,0.0,691.63,1
Wed_00037,Wednesday,New World Southmall,7,63.2,126,189.2,693.85,0.0,0.0,693.85,1
Wed_00038,Wednesday,"Four Square Ellerslie,Four Square St Heliers",6,81.4,108,189.4,694.55,0.0,0.0,694.55,2
Wed_00039,Wednesday,New World Newmarket,8,45.6,144,189.6,695.13,0.0,0.0,695.13,1
Wed_00040,Wednesday,"Four Square Glen Eden,Four Square Hobsonville",6,82.4,108,190.4,698.18,0.0,0.0,698.18,2
Wed_00041,Wednesday,"Four Square Onehunga,Four Square Eden Terrace",8,47.2,144,191.2,701.04,0.0,0.0,701.04,2
Wed_00042,Wednesday,"New World Metro Queen St,Four Square St Heliers",6,83.5,108,191.5,702.32,0.0,0.0,702.32,2
Wed_00043,Wednesday,"Four Square Glen Eden,Four Square Fair Price Henderson",7,66.4,126,192.4,705.32,0.0,0.0,705.32,2
Wed_00044,Wednesday,"Four Square Ellerslie,Four Square Pakuranga Heights",6,84.8,108,192.8,707.07,0.0,0.0,707.07,2
